arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
24116075,83457473,1,A00000149518,2016-01-28 00:00:00,1,N,10,5,24,M,1,2,R,,,,24,0
24264583,83886692,1,A00000150236,2016-02-27 00:00:00,2,N,51,5,42,M,1,1,R,,,,42,0
24264584,83886692,2,A00000150237,2016-02-27 00:00:00,2,N,51,5,41,M,1,2,N,,,,41,0
24535358,84661377,1,A00000151415,2016-04-24 00:00:00,3,N,48,5,38,M,1,2,R,,,,38,0
24535359,84661377,2,A00000151416,2016-04-24 00:00:00,3,N,35,5,27,M,1,2,R,,,,27,0
24694996,85116215,1,A00000152537,2016-06-11 00:00:00,2,N,51,5,19,F,1,2,R,,,,19,0
24694997,85116218,1,A00000152608,2016-06-14 00:00:00,3,N,16,5,21,M,1,2,N,,,,21,0
25140961,86471112,1,A00000152451,2016-06-08 00:00:00,3,N,16,5,23,M,1,2,R,,,,23,0
25140209,86471101,1,A00000153344,2016-07-15 00:00:00,2,N,51,5,17,F,1,2,R,R,,,17,0
26706890,91337123,1,A00000158411,2016-07-09 00:00:00,2,N,25,5,44,M,1,2,R,,,,44,0
25306767,87004547,1,A00000154516,2016-09-03 00:00:00,1,N,22,5,48,F,1,2,R,,,,48,0
25448622,87430799,1,A00000156122,2016-11-11 00:00:00,3,N,27,5,26,M,1,2,R,,,,26,0
26023982,89283568,1,A00000157124,2016-12-28 00:00:00,1,N,16,5,17,M,0,1,N,R,,,17,0
24534253,84662904,1,A00000152226,2016-01-07 00:00:00,2,N,48,5,50,M,1,2,N,,,,50,0
24535373,84661416,1,A00000152309,2016-01-09 00:00:00,2,N,48,5,37,M,1,1,N,,,,37,0
24116089,83458064,1,A00000149789,2016-01-13 00:00:00,2,N,23,5,31,M,1,2,R,,,,31,0
24116087,83458063,1,A00000149124,2016-01-04 00:00:00,2,N,23,5,33,F,1,2,U,,,,33,0
24695011,85116244,1,A00000152427,2016-01-24 00:00:00,2,N,48,5,54,F,1,2,N,,,,54,0
24695012,85116246,1,A00000153172,2016-01-26 00:00:00,2,N,48,5,53,F,1,2,N,,,,53,0
24695013,85116249,1,A00000153109,2016-01-25 00:00:00,2,N,48,5,34,M,2,2,N,,,,34,0
24535381,84662920,1,A00000152312,2016-01-11 00:00:00,2,N,48,5,59,M,1,2,N,,,,59,0
24116086,83457491,1,A00000149713,2016-01-11 00:00:00,2,N,23,5,38,F,1,2,R,,,,38,0
24116096,83457515,1,A00000149777,2016-02-07 00:00:00,2,N,23,5,31,M,1,2,R,,,,31,0
24115339,83458090,1,A00000149752,2016-02-09 00:00:00,2,N,2,5,25,F,1,2,N,,,,25,0
24116099,83458087,1,A00000149945,2016-02-18 00:00:00,2,N,23,5,17,M,1,2,N,R,,,17,0
24264590,83887601,2,A00000150331,2016-02-25 00:00:00,2,N,2,5,45,M,1,1,N,,,,45,0
24264589,83887601,1,A00000150329,2016-02-25 00:00:00,2,N,2,5,28,M,1,2,N,,,,28,0
24694224,85116247,1,A00000153170,2016-02-06 00:00:00,2,N,48,5,25,M,1,2,N,,,,25,0
24116097,83458518,1,A00000149709,2016-02-04 00:00:00,3,N,10,5,27,F,1,2,N,,,,27,0
24264591,83886703,1,A00000150551,2016-03-18 00:00:00,3,N,16,5,30,M,1,2,R,,,,30,0
24264592,83886703,2,A00000150553,2016-03-18 00:00:00,3,N,16,5,34,F,1,2,R,,,,34,0
25002544,86039616,1,A00000153883,2016-03-12 00:00:00,2,N,48,5,67,M,0,2,N,,,,67,0
24534259,84662917,1,A00000151117,2016-04-11 00:00:00,1,N,48,5,30,F,1,2,R,,,,30,0
24535376,84661429,1,A00000151278,2016-04-07 00:00:00,2,N,23,5,42,M,1,2,N,,,,42,0
24535378,84661429,2,A00000152219,2016-04-07 00:00:00,2,N,23,5,35,M,1,2,N,,,,35,0
24535383,84661436,1,A00000151409,2016-04-23 00:00:00,3,N,10,5,21,M,1,2,R,,,,21,0
24535401,84661460,1,A00000152063,2016-05-22 00:00:00,3,N,10,5,18,M,1,2,R,,,,18,0
24535396,84662935,1,A00000151867,2016-05-16 00:00:00,2,N,23,5,48,M,1,2,N,,,,48,0
24534281,84661489,1,A00000152263,2016-05-31 00:00:00,3,N,10,5,32,M,1,2,R,,,,32,0
24534267,84661456,1,A00000151992,2016-05-19 00:00:00,3,N,16,5,32,M,1,2,R,,,,32,0
24535400,84662940,1,A00000152069,2016-05-21 00:00:00,3,N,10,5,25,M,1,2,N,,,,25,0
24535387,84662924,1,A00000151786,2016-05-09 00:00:00,3,N,16,5,30,M,1,2,R,,,,30,0
24535410,84661482,1,A00000152224,2016-05-27 00:00:00,2,N,40,5,29,M,2,2,N,,,,29,0
25307734,87005529,1,A00000154850,2016-05-06 00:00:00,2,N,48,5,25,M,1,2,N,,,,25,0
24695029,85116268,1,A00000152823,2016-06-23 00:00:00,3,N,35,5,32,M,1,2,R,,,,32,0
24695027,85116263,2,A00000152507,2016-06-10 00:00:00,3,N,23,5,56,F,1,1,R,,,,56,0
24694232,85116263,3,A00000152508,2016-06-10 00:00:00,3,N,23,5,45,F,1,1,N,,,,45,0
24695026,85116263,1,A00000152506,2016-06-10 00:00:00,3,N,23,5,63,M,1,1,R,,,,63,0
24694233,85116263,4,A00000152509,2016-06-10 00:00:00,3,N,23,5,70,F,1,1,N,,,,70,0
24694236,85116279,1,A00000152866,2016-06-22 00:00:00,2,N,45,5,56,F,1,2,N,,,,56,0
24694225,85116250,1,A00000152414,2016-06-06 00:00:00,2,N,47,5,57,F,1,2,R,,,,57,0
24695033,85116654,1,A00000152919,2016-06-28 00:00:00,1,N,51,5,14,M,1,2,R,R,,,14,0
24870186,85621048,1,A00000153057,2016-07-03 00:00:00,3,N,44,5,49,M,1,2,R,,,,49,0
24870188,85621052,1,A00000153325,2016-07-16 00:00:00,2,N,35,5,32,M,1,2,R,,,,32,0
24868119,85621045,1,A00000153164,2016-07-03 00:00:00,2,N,5,5,53,M,1,2,R,,,,53,0
25140954,86471108,1,A00000153225,2016-07-11 00:00:00,3,N,16,5,40,M,1,2,R,,,,40,0
25004345,86039617,1,A00000153123,2016-07-06 00:00:00,3,N,10,5,24,M,1,2,R,,,,24,0
25140213,86470471,1,A00000153566,2016-07-26 00:00:00,2,N,45,5,54,M,1,2,N,,,,54,0
25002545,86038985,1,A00000153461,2016-07-22 00:00:00,3,N,16,5,24,M,2,2,R,,,,24,0
24868122,85621053,1,A00000153957,2016-07-05 00:00:00,2,N,23,5,65,F,1,2,R,,,,65,0
25140953,86471105,1,A00000153151,2016-07-08 00:00:00,3,N,10,5,30,M,1,2,R,,,,30,0
24870185,85621047,1,A00000153615,2016-07-06 00:00:00,2,N,23,5,41,M,1,2,R,,,,41,0
24868123,85621056,1,A00000153518,2016-07-24 00:00:00,1,N,35,5,24,M,1,2,R,,,,24,0
25140952,86471102,1,A00000153042,2016-07-02 00:00:00,3,N,16,5,33,F,1,2,R,,,,33,0
25140955,86471106,1,A00000154972,2016-08-22 00:00:00,3,N,48,5,46,M,1,2,R,,,,46,0
25306787,87004609,1,A00000154811,2016-09-16 00:00:00,3,N,51,5,14,M,1,2,R,R,,,14,0
25307735,87004597,1,A00000154506,2016-09-02 00:00:00,3,N,16,5,42,M,1,2,R,,,,42,0
25306789,87004613,1,A00000155244,2016-09-30 00:00:00,2,N,23,5,51,F,1,2,N,,,,51,0
