agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
16599,83457465,7292072,I00000431989,,2017-11-06 00:00:00,2016-01-25 00:00:00,,16,4,2016-01-26 00:00:00,0,C,2016_01_PA0363100_I00000431989_INC,F,,2454966
16599,83457473,7292072,I00000432105,,2017-11-06 00:00:00,2016-01-28 00:00:00,,20,6,,0,C,2016_01_PA0363100_I00000432105_INC,F,,2454965
16599,83886692,7315872,I00000433344,,2017-11-06 00:00:00,2016-02-27 00:00:00,,16,6,,0,C,2016_02_PA0363100_I00000433344_INC,F,,3484972
16599,84661377,7364657,I00000435734,,2017-11-06 00:00:00,2016-04-24 00:00:00,,13,6,,0,C,2016_04_PA0363100_I00000435734_INC,F,,5227634
16599,84661375,7358935,I00000437144,,2017-11-06 00:00:00,2016-05-28 00:00:00,,6,6,,0,C,2016_05_PA0363100_I00000437144_INC,F,,5227631
16599,85116215,7379115,I00000437801,,2017-11-06 00:00:00,2016-06-11 00:00:00,,6,6,,0,C,2016_06_PA0363100_I00000437801_INC,F,,6178498
16599,85116218,7379115,I00000437956,,2017-11-06 00:00:00,2016-06-14 00:00:00,,20,6,,0,C,2016_06_PA0363100_I00000437956_INC,F,,6178497
16599,86471100,7379115,I00000438490,,2017-11-06 00:00:00,2016-06-24 00:00:00,,16,6,,0,C,2016_06_PA0363100_I00000438490_INC,F,,8794623
16599,86471112,7379115,I00000437684,,2017-11-06 00:00:00,2016-06-08 00:00:00,,20,6,,0,C,2016_06_PA0363100_I00000437684_INC,F,,8795203
16599,86471101,7467214,I00000439167,,2017-11-06 00:00:00,2016-07-15 00:00:00,,1,6,,0,C,2016_07_PA0363100_I00000439167_INC,F,,8794625
16599,91337123,7467214,I00000448613,,2017-11-07 00:00:00,2016-07-09 00:00:00,,12,6,,0,C,2016_07_PA0363100_I00000448613_INC,F,,18806865
16599,86471104,7468609,I00000440833,,2017-11-06 00:00:00,2016-08-23 00:00:00,,12,6,,0,C,2016_08_PA0363100_I00000440833_INC,F,,8795189
