property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
96795320,63,150,,92861361
96795328,11,1,,92861370
97919547,11,5,,94317618
98339866,10,,,94865594
98339866,11,1,,94865596
99581580,7,1200,,96461151
99581175,10,,,96460740
104027031,16,438,,102211329
99581171,63,161,,96461155
100061966,19,56,,97085061
102145264,63,100,,99784315
102145265,10,,,99783800
96795115,25,25,,92861392
96795118,6,199,,92861398
96795120,36,7,,92862268
96795347,8,150,,92861397
96795128,10,,,92862274
96795128,11,1,,92862275
96795346,36,6,,92861395
96795350,19,43,,92861402
96795367,36,5,,92862281
96795142,57,5,,92862289
96795156,64,5500,,92861463
96795136,36,21,,92862287
96795374,36,21,2016-02-18 00:00:00,92861439
96795151,38,1,,92862297
97193946,20,1850,,93380618
96795149,42,1,,92861461
96795141,38,1,,92862290
97194746,6,49,,93380620
96795146,38,1,,92862294
96795155,3,50,,92862301
96795377,3,1,,92861448
96795387,38,1,,92861459
96795369,63,2,,92862282
96795140,42,1,,92861445
97193951,10,,,93380622
97193949,22,0,,93381479
97193947,63,35,,93381478
97194747,63,7,,93381480
97194751,63,100,,93380625
97194745,63,100,,93381477
97919590,20,1999,,94317665
97920197,10,,,94315970
97919583,19,149,,94315967
97920200,10,,,94315975
97920200,11,5,,94315976
97919623,63,15,,94317700
97920221,10,,,94317681
97919603,63,153,,94315995
97920247,11,5,,94316029
97920247,10,,,94317705
97919611,16,25,,94317682
97920236,11,5,,94316020
97920211,60,648,,94315993
98339901,11,1,,94865631
97919607,10,,,94317677
97919607,11,1,,94317678
97920214,20,5000,,94317675
97919608,10,,,94316002
97920241,63,1,,94316025
97920202,16,30,,94315980
97919593,10,,,94315981
97920240,1,3000,,94316024
97920251,63,10,,94316034
97919606,16,30,,94316000
102144868,63,0,,99784390
98339917,63,49,,94866241
98339924,20,10,,94865659
98339906,61,600,,94865636
98339921,20,10,,94866242
98339918,20,30,,94865648
98338880,11,5,,94866238
98339909,6,25,,94865639
98339911,42,35,,94865642
98338890,16,10,,94866248
98338891,46,28,,94866250
98809950,20,30,,95475549
98338875,58,425,,94866228
98339904,11,5,,94865634
98338874,63,40,,94866227
98339915,63,200,,94865646
98809951,63,20,,95476289
100061980,13,600,,97085077
98804063,11,5,,95475552
98809949,20,6,,95475548
98809945,34,1,,95475545
98804064,38,25,,95476290
99581583,10,,,96460736
99190430,63,6,,95958792
98809953,63,0,,95475551
99581177,63,4,,96461162
99190009,63,1500,,95957785
99190010,63,1,,95957786
98809946,63,52,,95475546
98804062,20,50,,95476288
98809954,25,8,,95476292
99581581,10,,,96461156
98809947,63,6,,95475547
98809955,11,1,,95475556
98809952,20,167,,95475550
99581582,38,13,,96460735
99581169,11,1,,96461153
99581169,10,,,96461152
100062696,63,0,,97086277
99581594,23,52,,96461171
99581170,3,3000,,96461154
100062692,63,75,,97086271
99581172,63,5000,,96460734
100062700,63,60,,97086281
100062723,36,249,,97086303
100062722,55,1100,,97086302
100062720,10,,,97086299
100062707,63,125,,97086287
100062717,19,29,,97085083
100062709,19,205,,97086289
100062704,63,800,,97086284
100062721,20,6,,97086301
100062705,63,20,,97086285
100062706,4,1000,,97086286
100453876,13,450,,97596100
100062000,63,20,,97086319
100061999,63,20,,97086316
100062733,9,0,,97086311
100062735,63,1750,,97086314
100062744,50,40,,97086326
100062732,63,75,,97085094
100061998,63,104,,97086315
100061987,63,202,,97086306
100454348,63,120,,97596107
100454350,63,12,,97597111
100454349,63,12,2016-11-23 00:00:00,97597109
100453886,63,25,,97596667
100454359,36,300,,97597122
102145321,63,0,,99784399
100454352,63,9,,97596662
100454355,19,31,,97596666
100454345,20,1,,97596101
104025937,20,511,,102210740
102145372,36,11,,99784458
102144869,63,124,,99783841
102145351,63,5,,99783872
102145374,63,552,,99784459
102145363,63,5,,99783881
102145336,11,1,,99784414
102145352,63,5,,99784432
102144884,26,736,,99784411
102145346,6,107,,99784427
102144882,20,1998,,99783853
102145354,63,70,,99783877
102144910,63,25,,99783888
102145370,63,150,,99783885
102144891,18,400,,99783861
102144904,63,10,,99783879
102144897,3,104,,99784429
104025928,20,146,,102210729
104025927,58,480,,102211371
98809809,3,1000,,95475391
98803932,10,,,95476135
98803932,11,1,,95476136
96794899,10,,,92861010
98803930,54,300,,95476134
97193790,11,1,,93381297
97193790,10,,,93381296
98803935,63,150,,95476142
98803938,61,780,,95475397
98803942,64,2000,,95476147
98809819,35,100,,95475402
98803944,4,50,,95476149
98803943,20,955,,95476148
100453154,20,995,,97595888
100453153,20,50,,97595886
99189854,38,85,,95957605
100453150,20,300,,97595883
100453152,63,10,,97595885
100453757,15,1000,,97595887
100453155,63,150,,97595889
100061784,63,20,,97084846
100453758,61,500,,97596521
100453759,20,200,,97596522
102813476,16,1500,,100648584
102813476,63,400,,100648586
102813478,10,,,100648588
102813475,3,100,,100648585
100454187,3,3000,,97595922
96794906,3,500,,92861016
97193801,62,50,,93381311
97193801,20,200,,93380503
97194648,11,1,,93380511
97194641,10,,,93380504
97194641,11,1,,93380505
100061826,3,500,,97084888
101515631,3,10000,,98972887
100061824,4,50,,97084886
100061825,59,500,,97084887
100061835,63,500,,97084896
100062468,38,1800,,97086033
100062466,20,12,,97086031
100061834,20,4,,97084895
101516386,16,49,,98973535
101516387,16,18,,98973536
104293559,10,,,102561645
96435329,15,300,,92382945
96434479,16,60,,92382942
96795273,20,100,,92861303
96795273,13,140,,92862169
96795057,38,235,,92861317
96795269,38,300,,92861299
98803980,13,655,,95476190
98809878,19,19,2016-04-17 00:00:00,95475467
98804005,19,19,,95476222
98809855,16,25,2016-04-25 00:00:00,95475448
98809858,16,25,,95475451
98803976,3,1,,95476184
98803977,19,2,,95476188
98809879,63,21,,95475468
99190394,38,300,,95958746
99189989,6,37,,95957760
99190400,6,37,2016-05-22 00:00:00,95958753
99189979,63,50,,95958745
99189969,19,23,,95958732
99189972,38,76,,95957743
99189971,20,28649,,95957741
99190401,8,7,,95957763
99189990,7,800,,95957761
99190379,38,240,,95958727
99190382,11,1,,95958730
99189996,8,3,,95958769
99190409,16,90,2016-06-15 00:00:00,95958764
99190411,16,90,,95958766
99189999,38,225,,95957774
99189999,26,375,,95957773
99190426,20,10,,95958785
99190426,36,16,,95958786
99190002,6,90,,95958774
99190002,61,100,,95958776
99190421,20,20,,95958780
99190424,38,11,,95958783
99581549,63,1,,96461114
99581148,8,17,2016-08-02 00:00:00,96460707
99581543,8,17,,96460709
