suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,98339866,1000,3,7308354
5,99581175,1000,9,7477321
5,100062655,,,7538190
5,102145265,1000,9,7813188
5,96795128,1000,1,7074633
5,97193951,1000,9,7133196
12,97920197,1000,1,7243792
5,97920200,1000,9,7243793
5,97920221,1000,9,7243796
12,97920247,1000,11,7243799
12,97919607,1000,1,7244936
8,97919608,1000,11,7244937
5,97919593,1000,1,7243794
5,99581583,1000,9,7477320
5,99581581,1000,9,7476833
5,99581169,1000,9,7476832
5,100061983,,,7538434
5,100062720,1000,9,7539197
5,98803931,,,7372827
5,98803932,1000,1,7371937
5,96794899,1300,1,7074595
4,97193790,1300,1,7132165
5,102813478,1000,3,7913525
5,97194641,1000,9,7133184
11,104293559,2000,9,8127710
5,100454272,1000,3,7591900
8,101516598,3000,9,7729976
5,96795340,1000,1,7074172
5,96795160,5500,1,7074635
8,96434543,,,7022708
5,97194806,4000,1,7133205
1,97193961,1500,1,7132192
5,97194005,1000,9,7134205
5,97545918,100,1,7183912
5,97545959,,,7183921
5,97920285,1000,9,7243803
5,97920287,1000,1,7243804
5,97920259,3000,1,7244942
1,97919613,1000,9,7244938
5,99581575,1500,1,7476830
1,99190453,1000,9,7424820
1,99190511,1000,9,7423852
4,99190483,2000,9,7424823
5,99190059,4000,1,7423850
13,99190523,5000,1,7424827
5,99190036,6000,1,7423847
17,99190110,1000,9,7423856
15,99581163,1000,9,7476829
15,99582205,3000,9,7477324
5,100454335,1000,9,7593202
5,99581674,1000,1,7476840
5,99582259,120,3,7477326
15,99582262,11000,9,7477327
5,100062699,1000,1,7538193
8,100062702,,,7538194
12,100062726,27500,9,7539198
16,101516675,1000,9,7729992
4,101516675,4000,9,7729993
5,103411368,2000,10,8000503
16,100062752,15000,9,7539199
4,100062831,1000,9,7539202
5,100062009,3000,9,7538435
4,102811746,1000,9,7913558
17,102144835,1000,9,7813184
17,101516676,2000,9,7730835
5,102144838,2000,9,7813187
4,103410793,1000,9,8001319
3,100454386,17100,1,7593217
5,102144860,1000,9,7812001
