arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
17515929,66235536,1,A00000124241,2012-03-14 00:00:00,3,N,11,5,18,F,1,2,R,,,,,
17515936,66235542,1,A00000127131,2012-09-19 00:00:00,2,N,16,5,22,M,1,2,R,,,,,
17515934,66235540,1,A00000126508,2012-02-10 00:00:00,2,N,16,5,43,M,1,2,N,,,,,
17515933,66235539,1,A00000126721,2012-03-31 00:00:00,2,N,16,5,20,M,1,2,R,,,,,
17515928,66235535,2,A00000124067,2012-02-29 00:00:00,2,N,16,5,19,M,1,2,R,,,,,
17515927,66235535,1,A00000124066,2012-02-29 00:00:00,2,N,16,5,27,M,1,2,R,,,,,
17515935,66235541,1,A00000133333,2012-05-31 00:00:00,2,N,35,5,19,F,1,2,R,,,,,
17515932,66235538,1,A00000126122,2012-07-16 00:00:00,2,N,35,5,21,M,1,2,R,,,,,
17515931,66235537,1,A00000125699,2012-06-19 00:00:00,3,N,35,5,40,M,1,2,R,,,,,
17515930,66235536,2,A00000124242,2012-03-14 00:00:00,3,N,45,5,23,M,1,3,R,,,,,
