arrestee_id,weapon_id,nibrs_arrestee_weapon_id
19150143,7,19165513
19150075,1,19164731
19150060,1,19164716
19151154,1,19162332
19151309,1,19159224
19152280,7,19159016
19150155,1,19165525
19150141,1,19165511
19150103,1,19165473
19150078,1,19164734
19150170,1,19162729
19151155,1,20645849
19151182,1,19162557
19151180,1,19162555
19151170,1,19162545
19151165,1,19162540
19152294,1,19159030
19150225,1,19162784
19150187,1,19162746
19151174,1,19162549
19151173,1,19162548
19151172,1,19162547
19151168,1,19162543
19151157,1,19162532
19152415,1,19159537
19152393,1,19159321
19153368,1,19159114
19150165,1,19165534
19150164,1,19165533
19150159,1,19165529
19150156,1,19165526
19152267,1,19162914
19152266,1,19162913
19152265,1,19162912
19152264,1,19162911
19151282,1,19162849
19151281,1,19162848
19151251,1,19162819
19150230,1,19162788
19150220,1,19162779
19150189,1,19162748
19150185,1,19162744
19150181,1,19162740
19151166,1,19162541
19152433,1,19159555
19152425,1,19159547
19152419,1,19159541
19152406,1,19159528
19152401,1,19159328
19152400,1,19159327
19152396,1,19159324
19152394,1,19159322
19152390,1,19159318
19152388,1,19159316
19152369,1,19159297
19152368,1,19159296
19151319,1,19159234
19151315,1,19159230
19151297,1,19159212
19151296,1,19159211
19151295,1,19159210
19151294,1,19159209
19153371,1,19159117
19152326,1,19159062
19152325,1,19159061
19152324,1,19159060
19152323,1,19159059
19152298,1,19159034
19152293,1,19159029
19152279,1,19159015
19152270,1,19162916
19151252,1,19162820
19150223,1,19162782
19151188,1,19162563
19151162,1,19162537
19152412,1,19159534
19151313,1,19159228
19150079,1,19164735
19151220,1,19162594
19152310,1,19159046
19150106,1,19165476
19150105,1,19165475
19150092,1,19164748
19150089,1,19164745
19150074,1,19164730
19150073,1,19164729
19150069,1,19164725
19150067,1,19164723
19150058,1,19164714
19150056,1,19164712
19150055,1,19164711
19151261,1,19162829
19151248,1,19162816
19151237,1,19162805
19150209,1,19162768
19150207,1,19162766
19150198,1,19162757
19150188,1,19162747
19151208,1,19162583
19152432,1,19159554
19152431,1,19159553
19152430,1,19159552
19152426,1,19159548
19152422,1,19159544
19152411,1,19159533
19152410,1,19159532
19152409,1,19159531
19152408,1,19159530
19152387,1,19159315
19152386,1,19159314
19152384,1,19159312
19152381,1,19159309
19152380,1,19159308
19152360,1,19159288
19152352,1,19159280
19152349,1,19159277
19152340,1,19159268
19152339,1,19159267
19151316,1,19159231
19151304,1,19159219
19151301,1,19159216
19153372,1,19159118
19152309,1,19159045
19152308,1,19159044
19152300,1,19159036
19152299,1,19159035
19152282,1,19159018
19150120,1,19165490
19151224,1,19162792
19151201,1,19162576
19151185,1,19162560
19151184,1,19162559
19151183,1,19162558
19151277,1,19162845
19151236,1,19162804
19151235,1,19162803
19151234,1,19162802
19151223,1,19162791
19151222,1,19162790
19151221,1,19162789
19151211,1,19162586
19151161,1,19162536
19151160,1,19162535
19151159,1,19162534
19152407,1,19159529
19152342,1,19159270
19151329,1,19159244
19151322,1,19159237
19151293,1,19159208
19152319,1,19159055
19152287,1,19159023
19150066,1,19164722
19150061,1,19164717
19150196,1,19162755
19152359,1,19159287
19150077,1,19164733
19150076,1,19164732
19152385,1,19159313
19151268,1,19162836
19151257,1,19162825
19151227,1,19162795
19150212,1,19162771
19151205,1,19162580
19150205,1,19162764
19152277,1,19159013
19152276,1,19159012
19150204,1,19162763
19150137,1,19165507
19150231,1,19162982
19150179,1,19162738
19150191,1,19162750
19150167,1,19162726
19152395,1,19159323
19152333,1,19159068
19152311,1,19159047
19150224,1,19162783
19152329,1,19159065
19152328,1,19159064
19151231,1,19162799
19150087,1,19164743
19150063,1,19164719
19151284,1,19162851
19151267,1,19162835
19151262,1,19162830
19150173,1,19162732
19150166,1,19162725
19151204,1,19162579
19150142,1,19165512
19152258,1,19162905
19152286,1,19159022
19150104,1,19165474
19151255,1,19162823
19151243,1,19162811
19152362,1,19159290
19152356,1,19159284
19151303,1,19159218
19152336,1,19159071
19152335,1,19159070
19152322,1,19159058
19152321,1,19159057
19152314,1,19159050
19152288,1,19159024
19152281,1,19159017
19151317,1,19159232
19150171,1,19162730
19151171,1,19162546
19152420,1,19159542
19150152,1,19165522
19151200,1,19162575
19151199,1,19162574
19150144,1,19165514
19152313,1,19159049
19152301,1,19159037
19151216,1,20645851
19150175,1,19162734
19150147,1,19165517
19150140,1,19165510
19150116,1,19165486
19150153,1,19165523
19151156,1,19162531
19153358,1,19159104
19152269,1,19162915
19151196,1,19162571
19151195,1,19162570
19151194,1,19162569
19151193,1,19162568
19152434,1,19159556
19151331,1,19159246
19151330,1,19159245
