victim_id,offender_id,relationship_id,nibrs_victim_offender_id
73994491,76697078,14,22927119
73994500,76697088,1,22888652
73988047,76691407,24,22356418
73988048,76691408,5,22356417
73988050,76691410,18,22356416
73988050,76691411,18,23630499
73988051,76691410,18,22356415
73988051,76691411,18,23630498
73988054,76691414,3,22356414
73988055,76691415,1,22356413
73988069,76691425,1,22356412
73988069,76691426,1,23630497
73988070,76691425,9,22356411
73988070,76691426,9,23630496
73988071,76691427,3,22356410
73988072,76691428,18,22475847
73988077,76691435,18,22356409
73988077,76691436,18,23630495
73988078,76691435,18,22356408
73988078,76691436,18,23630494
73988111,76691470,1,22373611
73988084,76691441,18,22356406
73988084,76691442,18,23630492
73988083,76691441,3,22356407
73988083,76691442,17,23630493
73988087,76691445,15,22475846
73988090,76691448,1,22356405
73988090,76691449,1,23630491
73988090,76691450,1,23878266
73988092,76691452,3,22356404
73988103,76691461,19,22373615
73988103,76691462,19,23706835
73988102,76691461,19,22373616
73988102,76691462,19,23706836
73988106,76691465,22,23598444
73988106,76691466,22,23860406
73988107,76691465,22,23598443
73988107,76691466,22,23860405
73988110,76691469,3,23598442
73988112,76691471,1,23598441
73988113,76691471,21,23598440
73988119,76691476,3,23598439
73988121,76691478,24,23598438
73988136,76691493,1,23598435
73988129,76691486,21,23598437
73988130,76691487,1,23598436
73988139,76691497,24,23598434
73988139,76691498,16,23860404
73988139,76691500,16,23925748
73988139,76691499,16,23918882
73991258,76693470,16,22888639
73991260,76693472,16,22728649
73991262,76693473,16,22888637
73991261,76693473,16,22888638
73991263,76693474,16,22888636
73991265,76693476,1,22888635
73991289,76695035,9,22338979
73991296,76695043,16,23719788
73991296,76695042,3,23596832
73991297,76695043,3,23719787
73991297,76695042,16,23596831
73991298,76695044,16,22963423
73991298,76695045,16,23719786
73991299,76695044,21,22963422
73991299,76695045,16,23719785
73991300,76695046,3,22963421
73991304,76695053,17,22963420
73991305,76695054,3,22963419
73991306,76695055,17,22963418
73991307,76695056,3,22728686
73991308,76695057,25,22963417
73991308,76695058,3,23719784
73991309,76695057,3,22963416
73991309,76695058,16,23719783
73991310,76695059,1,22963415
73991314,76695065,1,22963414
73991315,76695066,3,22728685
73991316,76695067,24,22963413
73991316,76695068,16,23719782
73991316,76695070,16,23925765
73991316,76695069,16,23887879
73991317,76695071,17,22963412
73991318,76695071,19,22963411
73991321,76695076,17,22963410
73991322,76695077,3,22963409
73991323,76695078,1,22963408
73991325,76695081,24,22728684
73991327,76695083,3,22963407
73991328,76695084,5,22963406
73991329,76695085,22,22963405
73991331,76695087,18,22728683
73991333,76695089,3,22963404
73992404,76695261,1,22888625
73991341,76695096,3,22728682
73991346,76695100,6,22963403
73991347,76695101,3,22963402
73991348,76695102,3,22963401
73991349,76695103,17,22728681
73991351,76695105,1,22434536
73991352,76695106,21,22963400
73991354,76695109,1,22963399
73991357,76695112,4,22963398
73991358,76695113,3,22963397
73991361,76695118,3,22963396
73991361,76695119,24,23719781
73991370,76695131,21,22963395
73991378,76695138,3,22963391
73991379,76695139,3,22728680
73991380,76695140,16,22963390
