agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
15807,PA0030200,PA0030200,Ford City Police Department,Ford City,1,City,,,9032,Ford City,42,PA,2259,Armstrong,42005,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,2897,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,10,,,,2016,1,0,16226,40.81238,-79.464129
16783,PA0430400,PA0430400,Hermitage Police Department,Hermitage,1,City,,,9087,Hermitage,42,PA,2299,Mercer,42085,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1962,,2016,2013,,16054,5,"Cities from 10,000 thru 24,999",L,Y,N,12,0,10,,,,2016,29,3,16148,41.300014,-80.252786
16490,PA0300400,PA0300400,"Cumberland Township Police Department, Greene County","Cumberland Township, Greene County",1,City,,,8869,Carmichaels,42,PA,2286,Greene,42059,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1975,,2016,2013,,6425,6,"Cities from 2,500 thru 9,999",L,N,N,11,0,8,,,,2016,3,0,15320,39.847707,-80.225655
16236,PA0180500,PA0180500,Dunnstable Township Police Department,Dunnstable Township,1,City,,,9182,Lock Haven,42,PA,2274,Clinton,42035,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2008,,2016,2013,,1021,7,"Cities under 2,500",L,N,N,12,0,8,,,,2015,2,0,17745,41.245301,-77.649141
17121,PA0610200,PA0610200,Oil City Police Department,Oil City,1,City,,,9327,Oil City,42,PA,2317,Venango,42121,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1960,,2016,2013,,10149,5,"Cities from 10,000 thru 24,999",L,N,N,12,0,10,,,,2016,16,6,16301,41.40198,-79.754418
16316,PA0211800,PA0211800,Upper Allen Township Police Department,Upper Allen Township,1,City,,,9216,Mechanicsburg,42,PA,2277,Cumberland,42041,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1973,,2016,2013,2016,19476,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,22,1,17055,40.164782,-77.26344
16971,PA0520500,PA0520500,Milford Township Police Department,Milford Township,1,City,,,9231,Milford,42,PA,2308,Pike,42103,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1987,,2016,2014,2006,1481,7,"Cities under 2,500",L,Y,N,0,0,0,16975,PA052SP00,State Police: Pike County,,,,18337,41.325949,-75.031514
16810,PA0441200,PA0441200,Lewistown Police Department,Lewistown,1,City,,,9172,Lewistown,42,PA,2300,Mifflin,42087,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2011,,2016,2013,,8289,6,"Cities from 2,500 thru 9,999",L,N,N,12,0,6,,,,2016,14,1,     ,40.61189,-77.620661
23187,PA0601100,PA0601100,Buffalo Valley Regional Police Department,Buffalo Valley Regional,1,City,,,9171,Lewisburg,42,PA,2316,Union,42119,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,2012,,2016,2013,,12251,5,"Cities from 10,000 thru 24,999",L,N,N,12,0,5,,,,2016,15,1,17837,40.962179,-77.055475
16054,PA010SP00,PA010SP00,State Police: Butler County,State Police: Butler County,4,State Police,,,,,42,PA,2266,Butler,42019,A,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,PA,1964,,2016,2013,,70890,9B,"MSA counties from 25,000 thru 99,999",L,Y,N,12,0,10,,,,2016,1,0,16001,40.913834,-79.91896
