offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
82380026,73090622,1,5,15,M,2,,,,
82380027,73090622,2,5,12,M,1,,,,
82380029,73090623,2,5,15,M,2,,,,
82380028,73090623,1,5,12,M,1,,,,
82380030,73090624,0,,,,,,,,
82380031,73090625,1,5,45,M,1,,,,
82380032,73090626,1,5,29,M,1,,,,
82380033,73090627,0,,,,,,,,
82380034,73090628,0,,,,,,,,
82380035,73090629,1,5,35,M,1,,,,
82380036,73090630,1,5,21,M,1,,,,
82380037,73090631,1,5,53,M,3,,,,
82381613,73091455,1,5,24,M,1,,,,
82380038,73090633,0,,,,,,,,
82380039,73090634,1,5,28,M,1,,,,
82380040,73090635,1,5,19,M,1,,,,
82380041,73090636,1,5,28,M,1,,,,
82380042,73090637,1,5,26,M,1,,,,
82380043,73090638,1,5,26,M,1,,,,
82380044,73090639,1,5,28,M,1,,,,
82380045,73090640,1,5,17,M,1,,,,
82380048,73090640,4,5,18,M,1,,,,
82380047,73090640,3,5,17,M,1,,,,
82380046,73090640,2,5,17,M,1,,,,
82380050,73090641,2,5,19,M,1,,,,
82380049,73090641,1,5,23,M,1,,,,
82380052,73090642,2,5,19,M,1,,,,
82380051,73090642,1,5,23,M,1,,,,
82380053,73090643,1,5,26,M,1,,,,
82380054,73090644,1,5,19,M,1,,,,
82380055,73090645,1,5,44,M,1,,,,
82380056,73090646,1,5,32,M,1,,,,
82380057,73090647,0,,,,,,,,
82381609,73091451,1,5,29,F,1,,,,
82381560,73090648,0,,,,,,,,
82381562,73090649,2,5,58,M,1,,,,
82381561,73090649,1,5,54,F,1,,,,
82381563,73090650,1,5,18,M,1,,,,
82381564,73090651,0,,,,,,,,
82381565,73090652,1,5,48,M,1,,,,
82381572,73090658,0,,,,,,,,
82381566,73090653,1,5,25,M,1,,,,
82381567,73090654,0,,,,,,,,
82381568,73090655,0,,,,,,,,
82381569,73090656,0,,,,,,,,
82381571,73090657,2,5,15,F,1,,,,
82381570,73090657,1,5,18,F,1,,,,
82381574,73090660,1,5,41,M,1,,,,
82381575,73090661,0,,,,,,,,
82381611,73091453,1,5,25,M,1,,,,
82381573,73090659,1,5,15,M,1,,,,
82381576,73090662,1,5,32,M,1,,,,
82381577,73090663,0,,,,,,,,
82381578,73090664,0,,,,,,,,
82381579,73090665,0,,,,,,,,
82381601,73091444,0,,,,,,,,
82381580,73090666,1,5,20,M,1,,,,
