property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
89408413,68,,,89397007
89429483,68,,,89427112
89429484,63,485,,89427113
89412569,6,35,,89405650
89422072,34,499,,89424299
89421421,63,100,,89432622
89422245,20,176,,89427836
89412575,63,1,,89406789
89412576,20,533,,89406790
89408414,36,400,,89397008
89422073,63,170,,89424300
89429485,10,0,,89427114
89429486,11,1,,89427115
89429487,63,600,,89427116
89408087,10,0,,89411341
89422246,20,2330,,89427837
89408088,10,0,,89411342
89408089,11,1,,89411343
89422074,3,1,,89424301
89422247,68,,,89427838
89422248,20,1400,,89427839
89422075,36,17,,89424302
89412570,63,141,,89405651
89408415,25,500,,89397009
89422249,36,162,,89427840
89404329,20,1500,,89409910
89422076,6,53,,89424303
89422250,16,637,,89427841
89417679,61,9,,89431135
89422251,63,100,,89427842
89422077,20,4506,,89424304
89417680,10,0,,89431136
89412571,20,400,,89405652
89422252,20,25,,89427843
89408416,63,0,,89397010
89412572,68,,,89405653
89417681,52,0,,89431137
89404330,9,0,,89409911
89422078,20,7,,89424305
89412573,54,100,,89406787
89408417,24,2500,,89397011
89422256,20,100,,89427847
89404322,20,8,,89409903
89422079,20,2122,,89424306
89412574,6,37,,89406788
89422253,20,4862,,89427844
89422080,6,28,,89424307
89404323,20,2,,89409904
89404324,63,6,,89409905
89429488,68,,,89427117
89417682,68,,,89431138
89422254,46,300,,89427845
89404325,63,1,,89409906
89422255,20,2500,,89427846
89429489,59,500,,89427118
89429490,62,653,,89427119
89408418,20,25000,,89397012
89429491,20,5,,89427120
89417685,63,1,,89431141
89422081,10,0,,89424308
89404327,63,100,,89409908
89417683,20,200,,89431139
89404326,68,,,89409907
89417684,63,250,,89431140
89422257,68,,,89427848
89404328,19,6,,89409909
89429492,20,20,,89427121
89422258,63,1,,89427849
89422259,4,200,,89427850
89422082,10,0,,89424309
89412577,20,30,,89406791
89422083,68,,,89424310
89429493,63,1,,89427122
89408419,8,174,,89397013
89408420,63,100,,89397014
89417686,12,90,,89431142
89422084,38,100,,89424311
89422260,63,500,,89427851
89422085,63,1,,89424312
89404331,68,,,89409912
89417687,19,491,,89431143
89422261,63,400,,89427852
89412578,36,358,,89406792
89408421,20,120,,89397015
89422262,63,500,,89427853
89417689,15,1995,,89431145
89408422,63,107,,89397016
89417688,36,109,,89431144
89429494,61,200,,89427123
89408423,20,62,,89397017
89404332,63,1,,89409913
89422263,63,35,,89427854
89408424,63,200,,89397018
89417690,63,1750,,89431146
89386617,20,80,,89434101
89386618,36,630,,89434102
89386619,11,1,,89434103
89367422,17,2000,,89303890
89381608,11,100,,89451826
89370704,26,150,2014-02-26 00:00:00,89317365
89386620,36,150,,89434104
89370705,5,45,,89317366
89367423,50,49,,89303891
89386621,24,7500,,89434105
89367424,24,8225,,89303892
89395739,20,1455,,89406938
89386622,38,501,,89434106
89389314,4,100,,89439097
89381609,61,300,,89451827
89383879,38,140,,89449563
89395740,11,1,,89406939
89386623,63,1000,,89434107
89395741,36,300,,89406940
89383880,3,4,,89449564
89395742,9,0,,89406941
89367425,63,0,,89303893
89389315,68,,,89439098
89383881,11,10,,89449565
89389316,6,300,,89439099
89389317,20,4,,89439100
89395743,42,185,,89406942
89370706,45,278,,89317367
89367426,59,200,,89303894
89383882,63,132,,89449566
89389318,20,10,,89439101
89395744,20,5,,89406943
89386624,61,10,,89434108
89395745,17,1000,,89406944
89370707,68,,,89317368
89367427,36,240,,89303895
89367428,63,300,,89303896
89370708,63,20,,89317369
89395746,38,350,,89406945
89386625,11,20,,89434109
89386626,11,20,,89434110
89386627,11,20,,89434111
89367429,8,1000,,89303897
89389320,3,500,,89439103
89383884,38,85,,89449568
89370709,38,320,,89317370
89395747,8,4,,89406946
89370710,45,50,,89317371
89370711,54,50,,89317372
89383883,21,5400,,89449567
89370712,36,5084,,89317373
89389319,63,1500,,89439102
89370713,63,5,,89317374
89381610,11,10,,89451828
89381611,16,900,,89451829
89386628,38,100,,89434112
89370714,19,20,,89317375
89370715,61,600,,89317376
89367430,63,400,,89303898
89381612,63,50,,89451830
89383886,63,5,,89449570
89370716,63,20,,89317377
89389321,11,20,,89439104
89383885,63,200,,89449569
89389322,20,38,,89439105
89389323,63,10,,89439106
89381613,36,450,,89451831
89367431,38,200,,89303899
89389324,16,1,,89439107
89367432,30,35,,89303900
89370717,29,200,,89317378
89383887,3,200,,89449571
89381614,63,110,,89451832
89367433,63,200,,89303901
89386629,36,1000,,89434113
89370718,20,99,,89317379
89381615,17,200,,89451833
89381616,10,0,,89451834
89381617,11,1,,89451835
89367435,8,112,,89303903
89389325,63,400,,89439108
89395749,63,100,,89406948
89367434,16,45,,89303902
89395748,63,400,,89406947
89367436,29,500,,89303904
89367437,10,0,,89303905
89367438,11,1,,89303906
89386630,20,10,,89434114
89395750,8,140,,89406949
89370719,54,400,,89317380
89381618,8,100,,89451836
89370720,49,250,,89317381
89381619,10,0,,89451837
89381620,11,1,,89451838
89367439,4,200,,89303907
89381621,51,0,,89451839
89383888,57,50,2014-09-09 00:00:00,89449572
89383889,57,100,,89449573
89386631,63,2775,,89434115
89367440,47,0,,89303908
89367441,16,1,2014-11-17 00:00:00,89303909
89367442,16,1,,89303910
89395751,16,240,,89406950
89395752,8,75,,89406951
89416913,11,1,,89417985
89396904,11,1,,89405846
89411801,10,0,,89412790
89412454,68,,,89404404
89411802,10,0,,89412791
89411803,11,1,,89412792
89412452,10,0,,89404402
89412453,11,1,,89404403
89411804,10,0,,89412793
89411805,11,1,,89412794
89396905,10,0,,89405847
89396906,11,1,,89405848
89395559,10,0,,89403363
89393252,10,0,,89445309
89396907,10,0,,89405849
89396908,11,2,,89405850
89393253,10,0,,89445310
89393254,11,1,,89445311
89390742,10,0,,89442788
89416914,20,23007,,89419115
89393255,8,50,,89445312
89395560,26,449,,89403364
89393256,19,72,,89445313
89411806,63,1,,89412795
89396909,20,380,,89405851
89393257,10,15,,89445314
89393258,20,26,,89445315
89393259,63,26,,89445316
89396910,61,500,,89405852
89390743,6,120,,89442789
89416915,36,1500,,89419116
89416916,29,138,,89419117
89390744,61,103,,89442790
89411807,63,49,,89412796
89401023,11,1,,89395332
89390754,38,1,,89442800
89395561,10,0,,89403365
89395562,26,279,,89403366
89416917,20,75,,89419118
89412455,25,2,2014-04-05 00:00:00,89404405
89412456,25,2,,89404406
89395563,11,1,,89403367
89396911,3,250,,89405853
89412457,19,106,2014-04-21 00:00:00,89404407
89412458,19,106,,89404408
89390745,38,6,,89442791
89396912,38,1,,89405854
89395564,20,200,,89403368
89395565,25,30,,89403369
89412472,3,1,,89404422
89401024,33,200,,89395333
89416918,31,1434,,89419119
89396913,38,1,,89405855
89412459,38,283,,89404409
89401025,68,,,89395334
89401026,20,20,,89395335
89396914,68,,,89405856
89396915,20,385,,89405857
89401027,16,1000,,89395336
89412460,38,350,,89404410
89416919,38,1,,89419120
89416920,6,120,,89419121
89396916,36,129,,89405858
89396917,20,900,2014-06-23 00:00:00,89405859
89396918,20,900,,89405860
89395566,54,35,,89403370
89411808,20,1820,,89412797
89416921,38,1195,,89419122
89401031,8,1,,89395340
89412625,20,1500,,89406839
89401028,16,578,,89395337
89401029,38,500,,89395338
89401030,63,569,,89395339
89390746,66,400,,89442792
89411809,57,640,,89412798
89416922,19,400,,89419123
89412461,19,70,2014-07-18 00:00:00,89404411
89412462,19,70,,89404412
89396919,20,280,,89405861
89395567,8,24,,89403371
89416923,20,1520,,89419124
89396920,20,14700,,89405862
89395568,38,2316,,89403372
89411810,63,21,,89412799
89390747,42,119,,89442793
89411811,38,300,,89412800
89412463,63,450,2014-08-15 00:00:00,89404413
89412464,63,450,,89404414
89412465,24,500,,89404415
89416924,63,29,,89419125
89395569,20,512,,89403373
89416925,20,43,,89419126
89390748,19,105,,89442794
89390749,63,17,,89442795
89401032,38,80,,89395341
89411812,20,5,,89412801
89401033,63,100,,89395342
89396921,11,1,,89405863
89401034,20,60,2014-09-17 00:00:00,89395343
89401035,25,2,2014-09-17 00:00:00,89395344
89401036,36,95,2014-09-17 00:00:00,89395345
89401037,38,5,2014-09-17 00:00:00,89395346
89401038,61,40,2014-09-17 00:00:00,89395347
89401039,63,55,2014-09-17 00:00:00,89395348
89401040,20,60,,89395349
89401041,25,2,,89395350
89401042,36,95,,89395351
89401043,38,5,,89395352
89401044,61,40,,89395353
89401045,63,55,,89395354
89412466,26,100,,89404416
89412467,36,250,,89404417
89412468,62,2481,,89404418
89412469,63,400,,89404419
89416926,61,210,,89419127
89390750,10,0,,89442796
89390751,11,1,,89442797
89396922,68,,,89405864
89396923,3,1000,,89405865
89411813,29,527,,89412802
89416927,10,0,,89419128
89412470,4,3,,89404420
89411814,61,649,,89412803
89396924,42,450,,89405866
89401046,8,10,,89395355
89411815,63,200,,89412804
89412624,38,95,,89406838
89411816,68,,,89412805
89396925,10,0,,89405867
89396926,11,1,,89405868
89412471,62,25,,89404421
89401047,8,1021,,89395356
89395570,68,,,89403374
89390752,35,1,,89442798
89401048,38,65,,89395357
89416928,38,150,,89419129
89416929,25,125,2014-11-06 00:00:00,89419130
89416930,25,125,,89419131
89390753,38,250,,89442799
89412626,6,46,2014-11-07 00:00:00,89406840
89412627,6,46,,89406841
89412628,20,4,,89406842
89412473,38,135,,89404423
89412629,38,1,,89406843
89412630,38,113,,89406844
89412474,38,150,,89404424
89395571,20,120,,89403375
89412634,63,260,,89406848
89396927,62,200,,89405869
89395572,38,52,2014-12-30 00:00:00,89403376
89395573,38,52,,89403377
89412475,38,1500,,89404425
89416931,68,,,89419132
89416932,20,60,,89419133
89416933,63,1,,89419134
89396928,26,1300,,89405870
89412631,40,500,,89406845
89390755,68,,,89442801
89390756,35,50,,89442802
89412632,10,50,,89406846
89412633,25,25,,89406847
89416934,17,200,,89419135
89416935,45,522,,89419136
89412635,63,98,,89406849
89412636,63,30,,89406850
89395574,10,0,,89403378
89395575,63,1,,89403379
89412637,10,0,,89406851
89396929,68,,,89405871
89396930,63,500,,89405872
89396405,3,1000,,89397467
89412476,16,2000,,89404426
89416936,26,100,,89419137
89396406,25,64,,89397468
89396407,26,150,,89397469
89416937,35,1000,,89419138
89396408,10,0,,89397470
89390757,7,1100,,89442803
89390758,13,459,,89442804
89412477,38,200,,89404427
89416938,8,10,,89419139
89390759,37,500,,89442805
89390760,38,100,,89442806
89401049,38,250,,89395358
89412638,38,304,,89406852
89401050,10,0,,89395359
89412478,36,90,,89404428
89416939,36,700,,89419140
89407047,25,25,,89394533
89412479,20,200,,89404429
89390761,63,100,,89442807
89396931,63,50,,89405873
89401051,63,40,,89395360
89407048,20,10,,89394534
89390762,20,1600,,89442808
89390763,11,1,,89442809
89412480,63,100,,89404430
89390764,20,95,,89442810
89401052,7,350,,89395361
89401053,58,75,,89395362
89401054,62,10,,89395363
89390765,19,1,,89443945
89401055,38,35,,89395364
89396932,26,223,,89405874
89401056,63,100,,89395365
89401057,20,100,,89395366
89401058,25,80,,89395367
89401059,61,175,,89395368
89401060,63,500,,89395369
89390766,63,300,,89443946
89407049,63,400,,89394535
89390767,20,17000,,89443947
89396934,20,300,,89405876
89396943,36,250,,89407016
89407054,8,18,,89394540
89396933,63,20,,89405875
89407050,59,100,,89394536
89412639,26,350,,89406853
89412640,63,115,,89406854
89401061,6,80,,89395370
89401062,63,30,,89395371
89396935,10,0,,89405877
89396936,11,30,,89405878
89412641,10,0,,89406855
89412481,63,1340,,89404431
89407051,63,52,,89394537
89401063,30,200,,89395372
89396937,11,2,,89405879
89416940,31,50,,89419141
89416941,19,2609,,89419142
89390768,63,350,,89443948
89396938,13,357,,89407011
89396939,36,25,,89407012
89407052,63,500,,89394538
89416942,27,40,,89419143
89412642,38,2526,,89406856
89412643,25,290,,89406857
89412644,36,25,,89406858
89412645,63,30,,89406859
89401064,63,25,,89395373
89390769,20,20,,89443949
89412646,19,24,,89406860
89412482,26,3000,,89404432
89412483,10,0,,89404433
89396940,10,0,,89407013
89396941,11,25,,89407014
89412647,10,0,,89407997
89412648,11,1,,89407998
89412649,20,2,,89407999
89401065,10,0,,89395374
89401066,11,20,,89395375
89390770,68,,,89443950
89396942,54,375,,89407015
89407053,63,150,,89394539
89401067,38,350,,89395376
89407055,3,200,,89394541
89401068,63,50,,89395377
89390771,63,50,,89443951
89396944,63,250,,89407017
89416943,3,1,,89419144
89407056,52,0,,89394542
89416944,63,1,,89419145
89412650,63,125,,89408000
89412651,9,0,,89408001
89416945,36,700,2014-04-21 00:00:00,89419146
89416946,36,700,,89419147
89416947,38,100,,89419148
89412484,38,60,,89404434
89416948,20,10,,89419149
89412485,63,100,,89404435
89407057,63,50,,89394543
89407058,3,400,,89394544
89412652,11,2,,89408002
89407059,10,0,,89394545
89407060,11,1,,89394546
89401069,20,44000,,89395378
89390772,16,399,,89443952
89407061,4,60,,89394547
89401070,19,3,,89395379
89412653,26,1578,,89408003
89401071,20,250,,89395380
89407062,61,175,,89394548
89412486,16,400,,89404436
89416949,38,200,,89419150
89401072,10,0,,89395381
89390773,63,50,,89443953
89390774,61,100,2014-03-28 00:00:00,89443954
89390775,61,100,,89443955
89416950,16,50,,89419151
89407063,36,18,,89394549
89407064,57,40,,89394550
89390778,19,300,,89443958
89401073,38,200,,89395382
89416953,31,30,,89419154
89407067,20,300,,89394553
89416986,68,,,89419187
89396945,11,1,,89407018
89412487,63,1,,89404437
89412488,38,300,,89404438
89412654,4,390,,89408004
89396946,38,36,,89407019
89416951,63,200,,89419152
89390776,10,0,,89443956
89390777,11,1,,89443957
89416952,3,1200,,89419153
89412655,20,75,,89408005
89412656,63,360,,89408006
89407065,10,0,,89394551
89401074,20,2500,,89395383
89401075,63,39,,89395384
89396947,36,470,,89407020
89401076,29,100,,89395385
89416954,20,60,,89419155
89412657,3,1000,,89408007
89396948,63,290,,89407021
89412658,7,300,,89408008
89412659,38,200,,89408009
89396949,30,1000,,89407022
89416955,68,,,89419156
89407066,3,500,,89394552
89401077,63,500,,89395386
89412660,63,200,,89408010
89390779,57,100,,89443959
89412489,20,5,,89404439
89390780,19,2,,89443960
89401078,4,180,,89395387
89401079,62,44,,89395388
89396950,20,200,,89407023
89412661,61,469,,89408011
89416956,68,,,89419157
89412490,63,250,,89404440
89412662,20,70,,89408012
89407068,7,400,,89394554
89390781,25,50,,89443961
89407069,45,200,,89394555
89413306,68,,,89405719
89413307,38,250,,89405720
89416957,31,500,,89419158
89412663,63,100,,89408013
89412664,9,0,,89408014
89407070,63,1,,89394556
89407071,8,1,,89394557
89397782,10,0,,89401089
89412673,26,100,,89408023
89412674,27,30,,89408024
89412675,63,7,,89408025
89401912,33,60,,89409730
89412676,63,12,,89408026
89390790,3,600,,89443970
89412677,26,1299,,89408027
89412678,63,830,,89408028
89412679,10,0,,89408029
89413333,63,600,,89406875
89413339,63,100,2014-05-25 00:00:00,89406881
89413340,63,100,,89406882
89396951,63,0,,89407024
89416958,63,1,,89419159
89390782,11,1,,89443962
89396952,50,10,,89407025
89396953,10,0,,89407026
89396954,11,1,,89407027
89390783,63,36,,89443963
89390784,20,2900,,89443964
89390785,10,0,,89443965
89390786,11,50,,89443966
89412665,10,0,,89408015
89412666,11,75,,89408016
89401080,63,500,,89395389
89401081,63,1,,89396503
89397777,68,,,89401084
89401082,20,20,,89396504
89416959,63,50,,89419160
89390787,26,1350,,89443967
89401083,16,20,,89396505
89397778,20,833,,89401085
89412667,25,30,,89408017
89416960,26,300,2014-05-10 00:00:00,89419161
89397779,68,,,89401086
89397780,61,150,,89401087
89413308,20,2,,89405721
89412668,10,0,,89408018
89412669,63,1,,89408019
89390788,54,700,,89443968
89416961,50,35,,89419162
89413309,63,500,,89405722
89413310,31,100,,89405723
89413311,9,0,,89405724
89412670,20,1200,,89408020
89401084,54,40,2014-07-22 00:00:00,89396506
89412671,63,100,,89408021
89416962,38,20,,89419163
89412672,26,1000,,89408022
89407072,63,10,,89394558
89397781,52,0,,89401088
89416963,24,100,,89419164
89407073,20,304,,89394559
89407074,63,60,,89394560
89390789,63,1,,89443969
89397804,20,1,,89401111
89413353,63,1,,89406895
89413354,11,5,,89406896
89407075,16,155,,89394561
89412680,38,320,,89408030
89416964,63,300,,89419165
89413312,26,500,,89405725
89397783,11,1,,89401090
89401913,20,52,,89409731
89401914,25,10,,89409732
89413313,11,1,,89405726
89407076,10,0,,89394562
89407077,11,1,,89394563
89397784,20,10,,89401091
89397785,63,400,,89401092
89416965,17,90,,89419166
89397786,38,120,,89401093
89407078,63,60,,89394564
89397787,63,5,,89401094
89407079,4,100,,89394565
89407080,4,100,2014-06-08 00:00:00,89394566
89407081,4,100,,89395684
89390791,25,5,,89443971
89401915,3,500,,89409733
89401916,25,50,2014-06-09 00:00:00,89409734
89413314,17,200,,89405727
89413315,20,150,,89405728
89397788,20,430,,89401095
89412681,58,200,,89408031
89390828,54,125,,89444008
89401917,26,1000,,89409735
89401918,68,,,89409736
89397789,4,20,,89401096
89407082,16,10,,89395685
89390792,63,900,,89443972
89390793,63,4000,,89443973
89397790,20,66,,89401097
89397791,63,500,,89401098
89416966,20,26,,89419167
89416967,63,40,,89419168
89397792,10,0,,89401099
89416968,9,0,,89419169
89416969,20,500,,89419170
89416970,25,20,,89419171
89413316,36,155,,89405729
89412682,11,1,,89408032
89407083,20,1757,,89395686
89390794,63,300,,89443974
89412683,63,500,,89408033
89412684,7,1100,,89408034
89416971,16,50,,89419172
89407084,63,50,,89395687
89407085,17,500,,89395688
89407086,63,600,,89395689
89390795,20,1940,,89443975
89397793,63,20,,89401100
89397794,17,300,,89401101
89397795,63,10,,89401102
89413317,17,200,,89405730
89413318,63,50,,89405731
89397796,20,4700,,89401103
89416972,61,60,2014-06-22 00:00:00,89419173
89401919,68,,,89409737
89401920,63,25,,89409738
89407087,10,0,,89395690
89407088,11,1,,89395691
89390796,16,250,,89443976
89416973,9,0,,89419174
89397797,38,200,,89401104
89412685,20,20,,89408035
89407089,16,400,,89395692
89416974,63,250,,89419175
89416975,63,41,,89419176
89413319,11,1,,89406861
89412686,43,30,2014-06-25 00:00:00,89408036
89413320,63,480,,89406862
89390797,63,1,,89443977
89390798,10,0,,89443978
89390799,63,550,,89443979
89390800,7,1100,,89443980
89390801,17,1200,,89443981
89390802,20,150,,89443982
89390803,63,350,,89443983
89416976,10,0,,89419177
89416977,11,1,,89419178
89416978,11,1,,89419179
89390804,4,35,,89443984
89390805,4,35,,89443985
89407090,3,10,,89395693
89416979,68,,,89419180
89397798,20,245,,89401105
89407091,63,1,,89395694
89397799,68,,,89401106
89397800,3,100,,89401107
89407102,63,10,,89395705
89397807,50,75,,89401114
89412687,25,25,,89408037
89416980,6,130,,89419181
89416981,16,180,,89419182
89412688,10,0,,89408038
89412689,11,1,,89408039
89397801,8,6,,89401108
89397802,17,800,,89401109
89390806,63,200,,89443986
89401921,13,300,2014-07-04 00:00:00,89409739
89401922,13,300,,89409740
89401923,20,35,,89409741
89401924,63,1,,89409742
89416982,10,0,,89419183
89416983,63,400,,89419184
89401925,63,100,,89409743
89407092,7,499,,89395695
89416984,4,200,,89419185
89407093,3,1,,89395696
89401926,36,25,,89409744
89413321,63,36,,89406863
89407094,10,0,,89395697
89397803,27,87,,89401110
89412690,36,1153,2014-07-15 00:00:00,89408040
89412691,36,1153,,89408041
89407095,57,500,2014-07-14 00:00:00,89395698
89407096,57,500,,89395699
89397805,11,1,,89401112
89397806,63,2500,,89401113
89413322,24,50,,89406864
