criminal_act_id,offense_id
6,86950547
6,86950548
6,86950367
6,86950368
6,86951544
6,86951545
6,86954343
6,86954344
6,86954427
6,86950363
6,86950364
8,86950545
6,86951548
6,86951549
6,86951550
6,86945929
1,86954358
1,86951561
1,86950383
1,86951326
6,86945922
6,86945923
6,86950555
6,86950556
6,86950128
1,86958127
6,86945933
8,86945934
6,86954438
6,86954439
8,86954441
8,86951325
6,86958115
6,86958116
6,86958118
6,86958119
6,86951551
6,86950370
6,86950371
6,86954347
6,86954348
6,86945926
6,86945930
6,86945931
6,86945932
6,86950131
8,86954357
6,86951321
9,86951559
6,86945938
8,86945939
6,86951322
6,86945918
6,86945919
6,86896781
6,86902369
6,86898248
6,86893049
9,86898246
1,86896785
6,86896865
6,86896869
6,86896871
6,86896872
6,86896789
6,86896611
6,86896612
6,86902371
6,86902372
6,86893052
6,86893053
6,86893055
6,86893056
6,86896867
6,86896877
6,86896878
8,86896791
7,86896793
8,86896617
6,86896807
6,86896808
1,86896805
7,86893066
8,86899020
6,86893065
6,90375296
6,90375297
6,86893062
6,86893063
8,86896802
8,86896803
6,86940449
6,86940448
9,86938090
6,86938091
9,86934185
8,86939283
6,86938092
6,86942031
6,86940925
9,86940459
6,86940467
6,86940468
8,86940466
6,86940929
3,86936228
6,86938097
9,86934197
9,86940458
6,86940460
8,86940461
6,86942043
6,86940452
8,86938093
8,86938094
6,86936227
8,86940919
9,86938096
9,86940469
6,86938118
6,86940494
6,86938124
6,86938125
6,86940496
6,86942814
6,86942815
6,86941714
6,86941715
8,86936277
6,86940062
6,86940063
6,86940503
1,86942821
6,86941723
6,86940510
6,86940511
6,86936291
1,86940516
6,90678207
6,90678206
6,86945033
6,86945034
6,86940132
6,86945038
6,91124969
6,86940088
1,86943869
2,86940091
6,86949664
6,86943863
6,86943864
9,86940092
6,86937082
6,86940473
6,86943826
6,86943827
2,86942047
2,86941690
6,86936247
6,86941691
6,86941692
6,86939294
6,86949223
6,86942856
6,86937079
6,86949216
6,86949217
6,86950439
6,86950440
6,86940524
6,90677642
8,86938146
6,86942841
6,86942842
6,86943887
6,86943888
6,86940101
1,86945010
6,86942861
6,86942862
6,86938164
6,92051384
6,92051385
6,86938189
6,86938190
1,86949651
6,86949656
6,86949657
6,86949214
6,86942840
1,86949204
6,86942845
6,86942846
6,90678209
6,90678208
3,93613145
3,86938184
6,86942871
6,86942873
6,86942874
6,86940111
6,86942885
6,86945018
1,90677663
6,90374510
6,90677662
6,86942877
3,92508061
6,86949240
6,86938173
1,86940105
9,86945012
5,86949687
6,86940106
3,86938178
6,86938180
6,86949689
6,86949690
8,90375417
2,90374526
3,92050449
6,90678212
6,86940115
6,90677659
6,90677658
6,86940506
8,86938111
2,86941703
5,86943833
6,86940483
6,86940487
6,86940488
6,86942810
6,86941706
6,86943843
6,86940477
3,86943822
6,86943824
6,86936254
6,86936255
6,86936259
9,86950452
9,86938959
1,86938956
5,86949268
9,86943917
9,86949271
9,86945046
9,86940136
9,86938963
9,86940137
9,86943920
6,86954326
8,86954327
8,86950105
6,86950106
6,86950347
6,86954329
6,86954330
6,86954331
8,86954332
6,86950108
7,86950109
6,86950536
1,86951537
3,86950537
6,86950355
6,86950356
1,92510106
6,86945903
8,86945904
9,90375463
9,90375462
6,90375454
6,90374602
6,90374613
6,90374614
1,86951536
6,86950338
6,86950339
6,86945896
6,86950341
6,86950522
6,86945902
6,86950096
6,86954404
6,86954405
7,93612386
6,93613146
2,86940142
6,86942896
6,86942897
6,86943929
8,86943930
6,86945058
6,86945059
6,86945865
6,86949310
6,86949311
3,86950331
3,90375411
6,86949312
6,86950488
6,86951485
8,86951486
2,86949570
6,86950318
8,86950319
6,86944730
6,86944731
6,86951488
6,86949317
8,86949318
6,86945874
6,86945875
6,90375416
6,90375415
6,90374527
6,86951511
6,86950330
6,86954292
8,86954293
9,86950504
6,86954295
2,86950071
2,86950072
6,86954296
6,86950506
8,86950325
6,86950326
6,86945884
6,86951496
6,86951497
6,86951498
6,86951500
6,86951501
3,86954299
6,86945888
6,86945889
6,86950073
7,86950074
1,86950358
6,86950086
6,86944759
6,86950087
6,86950088
6,86944753
6,86944754
6,86943928
1,86945052
6,86942893
6,86950453
6,86950454
6,86945054
6,86950455
6,86950456
6,86943926
1,86949540
1,86954265
9,86949543
6,95177263
6,95177262
6,86954262
6,86954263
6,86949293
6,86949294
6,86945842
6,86945843
6,86954264
6,86949544
6,86949545
6,86945845
6,86954268
8,86954269
6,86949548
6,86949549
