nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6807634,15887,8,2015,U,,,N,F,,C,2015_08_PA0060000_NIBRS,
6819846,15887,2,2015,U,,,N,F,,C,2015_02_PA0060000_NIBRS,
6856586,15887,7,2015,U,,,N,F,,C,2015_07_PA0060000_NIBRS,
6873521,15887,10,2015,U,,,N,F,,C,2015_10_PA0060000_NIBRS,
6905365,15887,3,2015,U,,,N,F,,C,2015_03_PA0060000_NIBRS,
6923928,15887,9,2015,U,,,N,F,,C,2015_09_PA0060000_NIBRS,
6991879,15887,5,2015,U,,,N,F,,C,2015_05_PA0060000_NIBRS,
7002445,15887,11,2015,U,,,N,F,,C,2015_11_PA0060000_NIBRS,
6998457,15887,12,2015,U,,,N,F,,C,2015_12_PA0060000_NIBRS,
7039049,15887,1,2015,U,,,N,F,,C,2015_01_PA0060000_NIBRS,
7036599,15887,4,2015,U,,,N,F,,C,2015_04_PA0060000_NIBRS,
7054047,15887,6,2015,U,,,N,F,,C,2015_06_PA0060000_NIBRS,
6792265,15888,5,2015,U,,,N,F,,C,2015_05_PA0060100_NIBRS,
6818900,15888,4,2015,U,,,N,F,,C,2015_04_PA0060100_NIBRS,
6864108,15888,10,2015,U,,,N,F,,C,2015_10_PA0060100_NIBRS,
6881254,15888,2,2015,U,,,N,F,,C,2015_02_PA0060100_NIBRS,
6834679,15888,8,2015,U,,,N,F,,C,2015_08_PA0060100_NIBRS,
6828895,15888,9,2015,U,,,N,F,,C,2015_09_PA0060100_NIBRS,
6914767,15888,12,2015,U,,,N,F,,C,2015_12_PA0060100_NIBRS,
6888987,15888,3,2015,U,,,N,F,,C,2015_03_PA0060100_NIBRS,
6956467,15888,11,2015,U,,,N,F,,C,2015_11_PA0060100_NIBRS,
7022888,15888,7,2015,U,,,N,F,,C,2015_07_PA0060100_NIBRS,
7021931,15888,1,2015,U,,,N,F,,C,2015_01_PA0060100_NIBRS,
7055766,15888,6,2015,U,,,N,F,,C,2015_06_PA0060100_NIBRS,
6820056,15889,2,2015,U,,,N,F,,C,2015_02_PA0060200_NIBRS,
6818109,15889,11,2015,U,,,N,F,,C,2015_11_PA0060200_NIBRS,
6822421,15889,1,2015,U,,,N,F,,C,2015_01_PA0060200_NIBRS,
6792999,15889,8,2015,U,,,N,F,,C,2015_08_PA0060200_NIBRS,
6869316,15889,5,2015,U,,,N,F,,C,2015_05_PA0060200_NIBRS,
6825092,15889,9,2015,U,,,N,F,,C,2015_09_PA0060200_NIBRS,
6944934,15889,7,2015,U,,,N,F,,C,2015_07_PA0060200_NIBRS,
6944937,15889,6,2015,U,,,N,F,,C,2015_06_PA0060200_NIBRS,
7012143,15889,12,2015,U,,,N,F,,C,2015_12_PA0060200_NIBRS,
6986328,15889,4,2015,U,,,N,F,,C,2015_04_PA0060200_NIBRS,
6984809,15889,3,2015,U,,,N,F,,C,2015_03_PA0060200_NIBRS,
7030459,15889,10,2015,U,,,N,F,,C,2015_10_PA0060200_NIBRS,
6798220,15890,3,2015,U,,,N,F,,C,2015_03_PA0060300_NIBRS,
6864819,15890,5,2015,U,,,N,F,,C,2015_05_PA0060300_NIBRS,
6843985,15890,12,2015,U,,,N,F,,C,2015_12_PA0060300_NIBRS,
6854707,15890,8,2015,U,,,N,F,,C,2015_08_PA0060300_NIBRS,
6832682,15890,9,2015,U,,,N,F,,C,2015_09_PA0060300_NIBRS,
6825222,15890,6,2015,U,,,N,F,,C,2015_06_PA0060300_NIBRS,
6835361,15890,4,2015,U,,,N,F,,C,2015_04_PA0060300_NIBRS,
6919523,15890,7,2015,U,,,N,F,,C,2015_07_PA0060300_NIBRS,
6944708,15890,2,2015,U,,,N,F,,C,2015_02_PA0060300_NIBRS,
6951903,15890,1,2015,U,,,N,F,,C,2015_01_PA0060300_NIBRS,
6971469,15890,10,2015,U,,,N,F,,C,2015_10_PA0060300_NIBRS,
7044053,15890,11,2015,U,,,N,F,,C,2015_11_PA0060300_NIBRS,
6805940,15891,10,2015,U,,,N,F,,C,2015_10_PA0060400_NIBRS,
6800446,15891,7,2015,U,,,N,F,,C,2015_07_PA0060400_NIBRS,
6820479,15891,3,2015,U,,,N,F,,C,2015_03_PA0060400_NIBRS,
