offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
86945916,78834982,56,C,20,,,
86950547,78834047,16,C,38,,,
86950548,78834047,35,C,38,,,
86950121,78834984,56,C,20,,,
86950366,78834974,2,C,20,,,
86954342,78834976,45,C,7,,,
86950550,78834977,5,C,38,,,
86950367,78834983,16,C,13,,,
86950368,78834983,35,C,13,,,
86951544,78834972,16,C,13,,,
86951545,78834972,35,C,13,,,
86950365,78834973,44,C,20,,,
86954341,78834975,51,C,20,,,
86945915,78834978,41,C,20,,,
86950119,78834979,45,C,20,,,
86950120,78834980,29,C,20,,,
86954343,78834981,16,C,13,,,
86954344,78834981,35,C,13,,,
86950546,78834044,5,C,20,,,
86951542,78834045,45,C,20,,,
86954424,78834046,14,C,20,,,
86951543,78834969,51,C,20,,,
86954427,78834970,16,C,20,,,
86954426,78834970,5,C,20,,,
86950118,78834971,51,C,20,,,
86954425,78834048,14,A,20,,,
86950549,78834049,51,C,20,,,
86950117,78834050,51,C,20,,,
86950363,78834051,16,C,13,,,
86950364,78834051,35,C,13,,,
86950545,78834043,35,C,20,,,
86951548,78834993,16,C,18,,,
86951549,78834993,35,C,18,,,
86950122,78834994,5,C,20,,,
86951550,78834995,16,C,13,,,
86950552,78834996,51,C,20,,,
86950123,78834997,23,C,8,,,
86954345,78834998,23,C,8,,,
86954346,78834999,23,C,8,,,
86950369,78835000,45,C,5,,,
86950124,78835001,49,C,24,0,N,
86954350,78835024,21,C,20,,,
86950126,78835025,7,C,21,,,
86945927,78835026,45,C,20,,,
86950376,78835027,5,C,23,,,
86945928,78835028,5,C,13,,,
86945929,78835029,16,C,25,,,
86951553,78835030,51,C,18,,,
86950127,78835031,23,C,8,,,
86954433,78835032,51,C,20,,,
86954434,78835034,51,C,20,,,
86954351,78835035,7,C,26,,,
86954356,78835087,23,C,8,,,
86950381,78835088,47,C,20,,,
86958125,78835089,23,C,8,,,
86958126,78835090,45,C,20,,,
