suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,96434528,26000,1,7023476
5,96795254,8330,1,7074163
5,99189924,100,1,7423823
5,96189360,2100,1,6989211
5,96190503,1000,1,6988226
4,98803962,300,1,7371939
5,97193847,75000,1,7132173
5,99189894,16000,1,7423815
5,96189398,8280,1,6989213
17,100453907,8000,1,7593218
4,97194769,1000,1,7133199
17,92392017,1,9,6612824
4,92396502,3,9,6612516
5,92400101,1,1,6612530
5,92392005,0,,6612823
5,92409416,1,1,6614723
4,92392023,18,9,6612826
5,92391117,1,1,6613165
16,92424046,1,9,6618041
5,92399834,1,3,6613350
4,92399836,2,7,6613351
5,92402174,4,1,6614524
5,92415485,4,1,6615006
5,92425731,1,1,6937949
16,92425731,1,9,6618948
4,92391845,0,,6612687
12,92399841,1,9,6613352
5,92399851,1,10,6613354
5,92430982,1,1,6619674
17,92408510,12,4,6613677
5,92402185,1,1,6614526
4,92402192,1,1,6614527
5,92415521,5,1,6615013
5,92414476,1,1,6613703
4,92416896,0.25,1,6613711
4,92416905,1,1,6613713
16,92411242,1.17,1,6614126
10,92410359,0.43,1,6614582
5,92408514,5.2,1,6613678
5,92412023,1.3,1,6613681
5,92408867,4,1,6614119
16,92402181,6,1,6614525
8,92416725,34,9,6615020
5,92425728,2,9,6618945
4,92425729,10,9,6618946
8,92425730,4,9,6618947
5,92425755,4.1,1,6618950
8,92425760,38,9,6618951
17,92425777,15,9,6618952
4,92399856,1,9,6613355
16,92399861,3,9,6613356
15,92414420,3,9,6613697
5,92416884,5,1,6613709
5,92416897,2,10,6613712
5,92418039,15.2,1,6613715
4,92392019,55,9,6612825
2,92392027,1,9,6612827
5,92409371,8.4,1,6614720
5,92409375,1,1,6614721
5,92424044,1,1,6618040
5,92386770,1,1,6612539
4,92400511,1,9,6612853
5,92407583,1,1,6613958
1,92417770,0.23,1,6614763
4,92393946,10,9,6613525
5,92393950,0.2,3,6613526
5,92394790,1.5,3,6613187
5,92394833,1,1,6613191
5,92415370,2,1,6614742
1,92417741,22.1,1,6614755
5,92417742,14.2,1,6614756
1,92417744,3.4,1,6614757
5,92417753,2.2,1,6614760
5,96435294,20100,1,7023465
4,92402201,6,1,6614528
16,92402204,6,9,6614529
4,92402205,0,,6614530
4,92402206,1,9,6614531
5,92409389,9.4,1,6614722
5,92424014,1.1,1,6618037
4,92424026,1,1,6618038
5,92424028,2,1,6618039
5,92415494,10,1,6615007
5,92415496,30,1,6615008
5,92415502,1,1,6615010
5,92415514,5,1,6615011
12,92425786,5,9,6618953
5,92391858,1,1,6612688
5,92391860,0.25,3,6612689
5,92391863,1,9,6612690
5,92416912,0,,6613714
5,92410375,1,9,6614583
5,92431018,10,1,6619675
5,92399843,1,9,6937398
8,92399843,1,9,6613353
2,92411223,1.5,1,6614125
5,96190457,1000,1,6988218
17,96190557,1000,1,6988237
5,92408500,1.1,1,6613675
12,92407773,1,1,6614116
5,92408862,1.2,1,6614117
5,92408863,102.3,1,6614118
8,92408881,69,9,6614120
4,92402144,1,9,6614522
5,92402166,1,1,6614523
5,92405775,1,1,6614560
5,92405778,1,1,6614561
5,92415498,3,1,6615009
5,92415517,1.4,1,6615012
5,92415531,2.4,1,6615014
5,92425734,1,1,6618949
4,100062677,2000,1,7538191
5,92391817,1,1,6612686
5,92414443,1,9,6613700
4,92414447,2,1,6613701
5,92414471,1,1,6613702
5,92414479,4,3,6613704
4,92416870,1,1,6613708
5,92418052,4.3,1,6613716
5,92418061,11,4,6613717
1,92418066,0.2,1,6613718
5,92418068,141.2,1,6613719
1,92418072,1.5,1,6613720
5,92411261,2,1,6614127
5,92430979,1,1,6619673
5,100454294,2000,1,7593193
13,92386772,27,9,6937319
4,92386772,1,9,6612540
5,92403251,30,1,6614380
1,92417757,14,1,6614761
2,92417766,22.2,1,6937526
1,92417766,10.4,1,6614762
2,96190545,2000,9,6988235
5,92407565,1,1,6613957
5,92418559,1,1,6614351
4,92415355,1,9,6614740
5,92415365,2,1,6614741
5,92431247,8.5,1,6618074
4,92423948,1,1,6620099
4,92387987,1,9,6612542
5,92394814,1,9,6613188
12,92394820,2,9,6613189
8,92394827,1,9,6613190
8,92394845,4,1,6613193
5,92418568,1,1,6614352
5,92418574,1,1,6614353
5,92403267,5.1,1,6614381
5,92415342,1,1,6614738
5,92415344,1,1,6614739
5,92415388,10,1,6614743
4,92415391,3,1,6614744
16,92417747,4,9,6614758
5,92417748,6,1,6614759
5,92417772,1.3,1,6614764
1,92431250,1.28,1,6618075
5,92424784,5.19,1,6619266
1,92431886,0.2,1,6619087
5,92399210,1,9,6612787
5,92399212,29,1,6612788
5,92399213,0,,6612789
5,92423174,3,1,6618601
5,92423176,1,1,6618602
8,92423177,0,,6618603
8,97918050,16000,9,7243762
5,92399893,2,1,6613416
16,92399895,24,9,6613417
16,92416926,1,9,6613797
5,92413674,1,1,6614242
4,92408181,3,9,6614658
12,92431846,1.5,1,6619082
4,92395557,2,9,6612774
5,92416976,2,1,6613802
3,92418530,4.3,1,6614268
4,92418532,1.4,1,6614269
5,92423156,3,1,6618600
5,97544574,1000,1,7184415
4,98809834,10000,9,7372833
1,98338834,2140,1,7308343
5,92399876,1,9,6613415
5,92414512,2.4,1,6613783
5,92416913,1,3,6613795
5,92408958,1,1,6614226
2,92431839,2,9,6619080
1,92431894,4.2,1,6619088
5,92431022,1,1,6619809
8,92418502,1,9,6614263
5,92418505,1,1,6614265
5,98803973,2300,1,7371942
16,92403103,6,9,6614193
15,92427811,9,9,6618530
16,92401527,1,9,6620455
4,99581122,120,1,7477315
5,99581122,60470,1,7476817
5,92386825,1,9,6612603
5,92400570,0,,6612933
12,92392426,1,9,6613247
5,92424526,1,10,6618792
5,92424531,6,1,6618793
4,92399179,1,9,6612717
5,92423091,3,1,6618506
5,92423099,2,1,6618509
5,92423115,5,1,6618510
1,92425446,5,1,6618524
5,92408561,1.29,1,6613752
5,92417611,1,1,6614621
5,92417612,1,1,6614622
4,92402255,5,9,6614637
5,92427825,13,1,6618531
2,92427849,1,1,6618533
4,92401501,5,9,6620453
5,96795256,3200,1,7074604
12,92400605,29,9,6612937
5,92391138,1,1,6613245
5,92391536,1,1,6613593
5,92414269,4.4,1,6614883
5,92414271,1,1,6614884
5,92424501,1.4,1,6618790
4,92424508,2,9,6618791
5,92424539,9,1,6618794
17,92399899,2,9,6613418
5,92408206,1,9,6614659
5,92431878,7,9,6619085
5,92431881,7.2,1,6619086
4,97919535,170,1,7244927
4,96435387,2000,1,7023475
16,92395539,30,9,6612773
4,92401555,5,9,6613815
7,92418503,5,9,6614264
5,92412878,1,1,6614673
5,92414530,111.2,1,6613784
5,92414564,9.2,1,6613787
5,92416915,1,2,6613796
16,92416938,1,1,6613798
14,92416942,1,9,6613799
5,92408961,1,1,6614227
4,92408214,3,9,6614660
5,92408218,1,1,6614661
5,92431842,1,1,6619081
5,92431872,1,1,6619083
5,92431874,1.4,1,6619084
5,92431896,1.27,1,6619089
5,92395565,3,1,6612775
16,92395591,22,9,6612777
1,92395594,3,1,6612778
4,92399229,14,1,6612790
16,92387718,2,9,6613432
16,92387737,7,9,6613433
5,92416973,29.2,1,6613801
5,96190634,1000,1,6988241
5,99581088,1000,1,7476807
5,92399175,1,9,6612715
5,92399177,1,3,6612716
5,92423095,3,1,6618507
5,92418519,0.1,9,6614267
4,92418541,0.1,1,6614270
5,92418550,1,1,6614271
5,92423152,1,1,6618599
4,92414536,1,3,6937433
16,92414536,15,9,6613786
8,92408921,1,1,6614224
5,96795103,1000,1,7074168
5,92408559,1,1,6613751
5,92402259,2,1,6614638
4,92402283,1.2,1,6614639
5,92427843,1,1,6618532
4,92427850,1,9,6618534
8,92401494,7,9,6620451
1,92401495,11.3,1,6620452
4,92395574,0,,6612776
16,92418516,1.34,1,6614266
5,92394848,10,1,6613261
13,92394894,1,1,6613264
4,92394906,0.42,1,6613266
5,92414256,6,1,6614881
5,92414261,1.2,1,6614882
5,101516506,3400,1,7730804
5,96189444,5000,9,6989221
5,97194676,1000,1,7133187
5,96795323,1470,1,7074169
8,92386842,50,9,6612605
4,92405754,3,9,6614464
5,92431716,1.4,1,6618839
5,92424873,1.5,1,6619482
4,96795020,250,1,7074606
2,96795100,1100,1,7074626
16,99189932,1000,1,7423826
5,92399113,1,3,6612714
5,92387710,18,1,6613373
5,92387711,5,1,6613374
1,92387714,1,3,6613375
5,92416026,10,1,6614164
