victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
85889572,78834982,1,4,,,,5,14,F,1,2,R,,,,
85889552,78834047,1,8,,,,,,,,,,,,,
85889574,78834984,1,4,,,,5,5,M,1,2,R,,,,
85889564,78834974,2,4,,,,5,58,F,1,2,R,,,,
85889563,78834974,1,4,,,,5,53,M,1,2,R,,,,
85889566,78834976,1,4,,,,5,20,M,1,2,R,,,,
85889567,78834977,1,1,,,,,,,,,,,,,
85889573,78834983,1,8,,,,,,,,,,,,,
85889561,78834972,1,8,,,,,,,,,,,,,
85889562,78834973,1,4,,,,5,30,F,1,2,R,,,,
85889565,78834975,1,4,,,,5,9,M,1,2,N,,,,
85889568,78834978,1,4,,,,5,38,M,1,2,R,,,,
85889569,78834979,1,4,,,,5,46,M,1,2,R,,,,
85889570,78834980,1,4,,,,5,35,F,1,2,N,,,,
85889571,78834981,1,8,,,,,,,,,,,,,
85889549,78834044,1,4,,,,5,43,F,1,2,R,,,,
85889550,78834045,1,4,,,,5,21,M,1,2,R,,,,
85889551,78834046,1,4,,,,5,52,M,1,2,R,,,,
85889557,78834969,1,4,,,,5,35,F,1,2,R,,,,
85889559,78834970,2,4,,,,5,22,F,1,2,R,,,,
85889558,78834970,1,8,,,,,,,,,,,,,
85889560,78834971,1,4,,,,5,12,M,1,2,R,,,,
85889553,78834048,1,4,,,,5,24,F,1,2,R,,,,
85889554,78834049,1,4,,,,5,26,M,1,2,R,,,,
85889555,78834050,1,4,,,,5,38,M,1,2,R,,,,
85889556,78834051,1,8,,,,,,,,,,,,,
85889548,78834043,1,8,,,,,,,,,,,,,
85889583,78834993,1,8,,,,,,,,,,,,,
85889584,78834994,1,4,,,,5,76,M,1,2,R,,,,
85889585,78834995,1,8,,,,,,,,,,,,,
85889586,78834996,1,4,,,,5,25,M,1,2,R,,,,
85889587,78834997,1,1,,,,,,,,,,,,,
85889588,78834998,1,1,,,,,,,,,,,,,
85889589,78834999,1,1,,,,,,,,,,,,,
85889590,78835000,1,4,,,,5,73,M,1,2,R,,,,
85889591,78835001,1,1,,,,,,,,,,,,,
85889621,78835024,1,4,,,,5,24,M,1,2,R,,,,
85889622,78835025,1,4,,,,5,55,M,1,2,N,,,,
85889623,78835026,1,1,,,,,,,,,,,,,
85889624,78835027,1,4,,,,5,20,M,1,2,R,,,,
85889626,78835028,2,4,,,,5,45,M,1,2,R,,,,
85889625,78835028,1,1,,,,,,,,,,,,,
85889627,78835029,1,8,,,,,,,,,,,,,
85889628,78835030,1,4,,,,5,17,F,1,2,R,,,,
85889629,78835030,2,4,,,,5,16,F,1,2,R,,,,
85889630,78835031,1,1,,,,,,,,,,,,,
85889631,78835032,1,4,,,,5,50,M,1,2,R,,,,
85889632,78835034,1,4,,,,5,29,F,1,2,R,,,,
85889633,78835035,1,4,,,,5,64,F,1,2,R,,,,
85890599,78835087,1,1,,,,,,,,,,,,,
85890600,78835088,1,4,,,,5,52,F,1,2,R,,,,
85890601,78835089,1,1,,,,,,,,,,,,,
85890602,78835090,1,4,,,,5,57,M,1,2,R,,,,
85890603,78835091,1,4,,,,5,27,F,1,2,R,,,,
85890604,78835092,1,4,,,,5,55,F,1,2,R,,,,
85890605,78835092,2,4,,,,5,10,F,1,1,R,,,,
85890607,78835094,1,4,,,,5,62,F,1,2,R,,,,
85890611,78835098,1,8,,,,,,,,,,,,,
85890612,78835099,1,8,,,,,,,,,,,,,
85890613,78835100,1,8,,,,,,,,,,,,,
85890614,78835101,1,8,,,,,,,,,,,,,
85889592,78835002,1,1,,,,,,,,,,,,,
85889593,78835003,1,8,,,,,,,,,,,,,
85889595,78835005,1,4,,,,5,20,F,2,2,R,,,,
85889596,78835006,1,8,,,,,,,,,,,,,
85889597,78835007,1,4,,,,5,21,F,1,2,R,,,,
85889598,78835007,2,1,,,,,,,,,,,,,
85889599,78835008,1,4,,,,5,30,M,1,2,R,,,,
85889634,78835036,1,8,,,,,,,,,,,,,
85889635,78835037,1,4,,,,5,33,M,1,2,R,,,,
85889636,78835038,1,4,,,,5,6,M,1,2,R,,,,
85889637,78835039,1,4,,,,5,57,F,1,2,R,,,,
85890587,78835075,1,4,,,,5,64,M,1,2,N,,,,
85890592,78835080,1,1,,,,,,,,,,,,,
85890593,78835081,1,1,,,,,,,,,,,,,
85890594,78835082,1,1,,,,,,,,,,,,,
85890595,78835083,1,1,,,,,,,,,,,,,
85890596,78835084,1,4,,,,5,76,F,1,2,R,,,,
85890597,78835085,1,4,,,,5,64,M,1,2,R,,,,
85890598,78835086,1,4,,,,5,38,M,1,2,N,,,,
85890610,78835097,1,8,,,,,,,,,,,,,
85890591,78835079,1,4,,,,5,28,F,1,2,N,,,,
85890558,78835048,1,4,,,,5,43,F,1,2,R,,,,
85890560,78835050,1,4,,,,5,15,F,1,2,R,,,,
85890561,78835051,1,8,,,,,,,,,,,,,
85890562,78835052,1,1,,,,,,,,,,,,,
85890563,78835053,1,4,,,,4,,F,1,2,N,,,,
85890564,78835054,1,4,,,,5,22,M,1,2,R,,,,
85890565,78835055,1,1,,,,,,,,,,,,,
85890566,78835056,1,8,,,,,,,,,,,,,
85890567,78835057,1,8,,,,,,,,,,,,,
85890606,78835093,1,8,,,,,,,,,,,,,
85890608,78835095,1,8,,,,,,,,,,,,,
85890568,78835058,1,1,,,,,,,,,,,,,
85890569,78835059,1,4,,,,5,21,M,1,2,R,,,,
85890570,78835060,1,8,,,,,,,,,,,,,
85890576,78835065,1,8,,,,,,,,,,,,,
85889600,78835009,1,8,,,,,,,,,,,,,
85889601,78835010,1,8,,,,,,,,,,,,,
85889602,78835011,1,1,,,,,,,,,,,,,
85889603,78835012,1,8,,,,,,,,,,,,,
85889604,78835013,1,4,,,,5,49,F,1,2,R,,,,
85889608,78835017,1,4,,,,5,2,F,1,2,R,,,,
85890556,78835046,1,4,,,,5,27,M,1,2,R,,,,
85890550,78835040,1,4,,,,5,22,F,2,2,N,,,,
85889605,78835014,1,8,,,,,,,,,,,,,
85889606,78835015,1,4,,,,5,45,M,1,2,R,,,,
85889607,78835016,1,4,,,,5,28,F,1,2,R,,,,
85889609,78835018,1,4,,,,5,67,M,1,2,N,,,,
85889614,78835019,5,4,,,,5,39,M,1,2,R,,,,
85889613,78835019,4,4,,,,5,40,F,1,2,R,,,,
85889610,78835019,1,4,,,,5,44,M,1,2,R,,,,
85889611,78835019,2,4,,,,5,73,M,1,2,R,,,,
85889615,78835019,6,4,,,,5,55,M,1,2,R,,,,
85889612,78835019,3,4,,,,5,71,F,1,2,R,,,,
85889616,78835019,7,4,,,,5,52,F,1,2,R,,,,
85889617,78835020,1,1,,,,,,,,,,,,,
