victim_id,circumstances_id,justifiable_force_id
85891661,1,
85891663,1,
85859479,10,
85855269,10,
85891794,1,
85860539,10,
85880919,10,
85891769,1,
85892808,1,
85861579,10,
85861584,1,
85861585,1,
85891813,5,
85891814,5,
85891815,10,
85891816,1,
85892738,10,
85892739,10,
85881965,1,
85881978,10,
85878788,1,
85874496,10,
85885254,1,
85890689,1,
85890707,1,
85890709,5,
85890710,5,
85857387,1,
85857392,10,
85857391,1,
85857393,10,
85857390,1,
85857394,10,
85857395,10,
85859399,1,
85853062,10,
85880906,9,
85875521,1,
85854097,1,
85888401,1,
85857257,3,
90291011,6,
85864877,1,
85860466,1,
85892780,1,
85886248,2,
85880880,10,
85866938,9,
85853111,1,
85853042,1,
85891698,9,
85891720,6,
85877668,1,
85852975,2,
85856293,1,
85856294,9,
85856295,10,
85856298,10,
85875486,6,
90591953,6,
85857232,1,
85890663,1,
85880946,2,
85891645,1,
85881944,9,
85886299,6,
85892756,1,
85883158,1,
92412095,9,
85863685,9,
85890657,1,
85862598,1,
85879780,2,
