victim_id,injury_id
85889516,5
85879799,4
85879800,4
90591926,4
85889509,5
85872368,4
85879824,5
85872374,5
85879801,4
85872356,5
90591897,5
90592834,5
90592851,5
90592844,5
90591900,5
90592840,5
90592843,5
90591902,5
90592848,5
90591903,5
90592984,2
90592984,7
90592984,1
85881006,4
85854135,5
85854137,5
85854136,4
85876721,5
85881009,4
85881015,5
85881953,5
85856152,4
85854138,4
85856226,5
85856236,4
85856235,4
85856239,4
85855150,5
85855251,5
85855267,4
85856158,5
85857293,5
85876717,4
85881004,4
85881017,5
85881942,4
85881943,4
85881944,4
85854061,4
85881955,5
85857294,4
85876718,4
85876720,5
85855258,4
85855266,4
85855269,4
85856154,4
85857292,5
85855257,5
85855260,4
85857286,5
85857287,4
85857307,4
85881933,4
85855232,5
85855233,5
85855248,5
85856216,4
85859469,4
85859470,4
85859479,3
90591882,4
85871316,5
85871318,4
85859495,4
85859508,4
85864827,5
85870141,5
85871323,4
85859501,4
85870140,5
85870142,5
85870143,4
85871317,5
85871328,4
85859462,4
85859472,4
85859473,4
85859477,4
85859480,4
85859481,4
85859507,5
85859514,4
85859517,5
85871311,4
85870166,4
85878757,4
85892769,4
85890581,5
85892751,4
85862726,4
85892775,5
85865962,5
85858362,5
85879876,5
85890575,5
85890574,5
85892780,4
85865945,4
85866863,4
85879862,5
85890583,4
85890584,4
85869043,4
85892771,5
85892772,4
85890591,4
85862744,4
85878799,5
85878801,4
90591922,5
85869131,5
85878807,5
85878808,5
85885304,4
85885300,4
85889466,5
85886242,5
91037802,5
85885301,4
85885321,5
85885322,5
85888540,5
85888541,5
85888549,4
85888555,5
85888558,5
85870151,4
85889461,5
85886249,4
85886250,4
85886248,6
93980618,5
93980704,4
85872271,4
85872284,4
85872285,5
85873492,4
85890643,4
85871337,5
85871309,4
85872279,4
85872282,4
85873481,4
85890638,5
85890639,5
85873405,5
85873447,5
85873448,5
85871308,5
85871339,4
85873444,4
85872281,4
85872287,5
85871299,4
85871300,4
85871298,4
85872268,4
85876614,5
85858332,4
85858331,4
85885271,5
85885195,4
85889572,5
85883099,4
85883107,5
85883102,4
85885269,5
85883098,5
91527851,5
85884170,5
85884127,4
85884126,4
85884152,5
