weapon_id,offense_id,nibrs_weapon_id
12,86942027,17403098
12,86925516,17396918
12,86901638,17394918
11,86896809,17393691
12,86933422,17404004
20,86930351,17398364
12,86898243,17394666
12,86954420,17400405
12,86936220,17402403
4,86893066,17384289
12,86896784,17393444
9,86898246,17394668
20,86950112,17400906
12,86927011,17398320
12,86943906,17402028
9,86937300,17402197
12,86912378,17393182
12,86907155,17394510
12,86943828,17401783
12,86926989,17398315
12,86933378,17403831
12,86933386,17403832
12,86939667,17402624
12,86921594,17394949
12,86942058,17403101
9,86921593,17394948
12,86910229,17393622
12,86921597,17394950
12,86943832,17401785
20,86938108,17404724
12,86921600,17394951
3,86920367,17397991
12,86909999,17392710
12,86940879,17402880
12,86939665,17402623
3,86929517,17395534
3,86931695,17402101
12,86941996,17402889
12,86935435,17403248
12,86927541,17396455
12,86907157,17394511
12,86939242,17404969
9,86910225,17393621
3,86929512,17395531
12,86952363,17400941
12,86952362,17400940
12,86958129,17401387
12,86951329,17401133
18,86910207,17393386
12,86910212,17393618
12,86923569,17397814
12,86919726,17395838
18,86928306,17395299
12,86955146,17399393
20,86951554,17401672
12,86914042,17398618
2,86916995,17397463
12,86950409,17401652
12,86919725,17395837
12,86931699,17402102
12,86931700,17402103
20,86926992,17398316
12,86926995,17398317
9,86938097,17404722
12,86911304,17393390
12,86912362,17393180
12,86907132,17394287
19,86914038,17398617
12,86911305,17393391
9,86911310,17393392
18,86910215,17393619
18,86911311,17393393
18,86928441,17395713
12,86955147,17399394
12,86958128,17401386
12,86904814,17394023
12,86907129,17394286
10,86910204,17393385
4,86922459,17397803
20,86928304,17395298
20,86931744,17402115
20,86940112,17403904
12,86940858,17402875
12,86939229,17404742
20,86942843,17402249
20,86942844,17402250
12,86950334,17401490
12,86951323,17401130
12,86940859,17402876
12,86941984,17402887
3,86910218,17393620
12,86945935,17404817
12,86939640,17402440
12,86951559,17401673
12,86945937,17404818
12,86939641,17402441
18,86949207,17401304
18,86911312,17393394
12,86927839,17397384
12,86933362,17403828
4,86951536,17401667
12,86940076,17403894
12,86912368,17393181
12,86958122,17401384
12,86950083,17400730
12,86958259,17398668
12,86954434,17400571
12,86918872,17396604
18,86954433,17400570
12,86927480,17396202
12,86925434,17396687
12,86951553,17401671
12,86952370,17400943
12,86952367,17400942
12,86958404,17399012
19,86958405,17399013
12,86929500,17395530
9,86896865,17393701
12,86893060,17384288
12,86898247,17394669
20,86903908,17394943
12,86901641,17394921
12,86950549,17398942
12,86929305,17398592
12,86939600,17402439
9,86927863,17397387
12,86939596,17402438
3,86951537,17401668
12,86923639,17398022
12,86924668,17397824
12,86950117,17400907
12,86935398,17403240
20,86902454,17393769
12,86899022,17393467
12,86901647,17394923
12,86896796,17393687
12,86898252,17394671
12,86901644,17394922
12,86940438,17404981
18,86898242,17394665
12,86909101,17393607
12,86898245,17394667
12,86896788,17393445
9,86911506,17394103
3,86902484,17393992
20,86906263,17391450
12,86911509,17394104
12,86940906,17403081
12,86940907,17403082
18,86922427,17397796
12,86932497,17404455
12,86932553,17404654
12,86930376,17398599
12,86942010,17403096
12,86939684,17402629
12,86939685,17402630
12,86916961,17397268
3,91618897,18373063
20,86930339,17398362
20,86928319,17395301
18,86931481,17404855
12,86919973,17396625
12,86928455,17395718
12,86931536,17404865
12,86922497,17398008
12,86919144,17397503
12,86930386,17398601
12,86932294,17403824
12,86927804,17397185
12,86932298,17403825
12,86931538,17404866
12,86928367,17395519
12,86932510,17404456
20,86942902,17402258
12,86925532,17397144
12,86923635,17398021
12,86935405,17403242
12,86927808,17397186
12,86927809,17397187
12,86921637,17394964
3,86922498,17398009
3,86928513,17395975
12,86949272,17401486
9,86909978,17392709
12,86931535,17404864
18,86919656,17395619
12,86932514,17404650
10,86931161,17403814
12,86943931,17402034
12,86921172,17397312
12,94086466,18880464
12,86931467,17404648
12,86925513,17396917
20,86931473,17404649
12,86932558,17404655
9,86954446,17400574
3,86925501,17396915
12,86931520,17404863
12,86927549,17396456
18,86928448,17395715
12,86928314,17395300
20,86928451,17395717
20,86931475,17404854
12,86927043,17398329
12,86950386,17401648
20,86930369,17398597
20,86930373,17398598
20,86931747,17402116
20,86928449,17395716
12,86930338,17398361
12,86940108,17403901
12,86925505,17396916
18,86932338,17403999
12,86909947,17392705
12,86949685,17399533
18,86909946,17392704
12,86940110,17403903
12,86942875,17402253
20,86945012,17402040
12,86940109,17403902
20,86921215,17397317
12,86931514,17404860
12,86921607,17394952
12,86916895,17397048
20,86938183,17404967
12,86912090,17392241
12,86927035,17398328
12,86912097,17392242
12,86912098,17392243
12,86910246,17393625
18,86910248,17393627
18,86912101,17392487
12,86911301,17393388
12,86945917,17404814
12,86923566,17397813
12,86910254,17393628
12,86919060,17397079
20,86910008,17392926
12,86914068,17395108
12,86940453,17404986
12,86931725,17402110
12,86925478,17396911
18,86921612,17394954
12,86922781,17395208
12,86922450,17397800
12,86921236,17397533
2,86927532,17396210
12,86925486,17396912
18,86931453,17404645
12,86936235,17402405
12,86929538,17395725
12,86904811,17394020
12,86921616,17394955
19,86936221,17402404
3,86918859,17396357
12,86930319,17398360
12,86931439,17404644
12,86931438,17404643
2,86921620,17394957
2,86921619,17394956
12,86922451,17397801
18,86909146,17393615
12,86911533,17394112
12,86930313,17398359
12,86909973,17392708
12,86928530,17395980
12,86943842,17401787
18,86939311,17405195
12,86930653,17402320
18,86910200,17393384
12,86912358,17393179
12,86910014,17392927
20,86910018,17392928
12,86954341,17400204
12,86929492,17395529
12,86917798,17396346
12,86938117,17404726
12,86938119,17404727
12,86951546,17401670
12,86945920,17404815
20,86950552,17398943
12,91618917,18373066
12,86954290,17400197
18,86909405,17394555
12,86919939,17396619
12,86919940,17396620
20,86954283,17400023
12,86951490,17401509
12,86906324,17391684
12,86911258,17393169
3,86911261,17393170
3,86911262,17393171
12,86925431,17396686
20,86916896,17397049
9,86904765,17394017
12,86911265,17393172
12,86906328,17391685
12,86904796,17394019
18,86906360,17391688
12,86954284,17400024
12,86954288,17400025
12,86945880,17404595
12,86911552,17394316
20,86909400,17394554
12,86904764,17394016
12,86929488,17395528
12,86910192,17393383
20,86914032,17398616
12,86909972,17392707
12,86917770,17396344
12,86904755,17394015
12,86914030,17398615
12,86912350,17393177
18,86912352,17393178
12,86959040,17400834
2,86930312,17398358
12,86952385,17400947
12,86959038,17400833
12,86955172,17399401
12,86921624,17394958
12,86921630,17394961
3,86916910,17397050
12,86912108,17392489
12,86926982,17398312
18,86926981,17398311
20,86927019,17398324
12,86958962,17400618
12,86932308,17403996
12,86958963,17400619
12,86912107,17392488
12,86910260,17393630
12,86927662,17396714
12,86930293,17398115
12,86927663,17396715
12,86921189,17397314
12,86931484,17404856
12,86918817,17396352
12,86931703,17402104
12,86914878,17397717
9,86922764,17395207
12,86921196,17397315
10,86904812,17394021
9,86912116,17392490
12,86941985,17402888
12,86955174,17399402
12,86921226,17397319
12,86914083,17395109
2,86921627,17394959
2,86921628,17394960
12,86914852,17397712
12,86916912,17397051
12,86921635,17394962
12,86936191,17402182
3,86914085,17395110
3,86910263,17393631
12,86925468,17396908
12,86919982,17396841
12,86911303,17393389
12,86904813,17394022
3,86910258,17393629
9,86920401,17398209
12,86931418,17404639
12,86922762,17395206
12,86914876,17397716
12,86921653,17395192
12,86918820,17396353
12,86921636,17394963
3,86929534,17395538
12,86927525,17396208
2,86921654,17395193
18,86914855,17397713
4,86916916,17397052
12,86921171,17397311
12,86910269,17393632
12,86958954,17400447
12,86950426,17401655
20,86931756,17402338
9,86955256,17399615
20,86927006,17398318
20,86928443,17395714
3,86919721,17395834
4,86925467,17396907
3,86938164,17404965
12,86955257,17399616
12,86919720,17395833
3,86919969,17396622
12,86933375,17403829
20,86937296,17402196
12,86927494,17396203
12,86929513,17395532
12,86940095,17403900
12,86906245,17391448
3,86919719,17395832
12,86935426,17403247
20,86943879,17402023
12,86949521,17399121
12,86945056,17402046
12,86931678,17401871
20,86931682,17402097
20,86945005,17402038
12,86949230,17401480
12,86943884,17402024
20,86930348,17398363
12,86931693,17402100
12,86933377,17403830
3,86919722,17395835
12,86949675,17399528
12,86939239,17404743
12,86898250,17394670
3,92508014,18553929
12,86906243,17391447
12,86903917,17394945
9,92509313,18555354
12,86932569,17404657
12,86932314,17403997
15,86927815,17397379
12,86928322,17395302
12,86940870,17402877
12,86931162,17403815
12,86940874,17402879
20,86935422,17403246
12,86940873,17402878
12,86937287,17402195
20,86919066,17397080
3,86943920,17402031
12,86924435,17397136
12,86931736,17402112
12,86942890,17402257
12,86934197,17403002
18,86945046,17402043
12,86943925,17402033
18,86950457,17398767
12,86945048,17402044
12,86945049,17402045
20,86942889,17402256
20,86938966,17404073
12,86943921,17402032
20,86940136,17403906
18,86949271,17401485
12,86931715,17402108
12,86931714,17402107
12,86940092,17403899
12,86949224,17401479
20,86936312,17402603
12,86937064,17404956
20,86938148,17404963
20,86949670,17399526
12,86904730,17393806
12,86943873,17401796
20,86940080,17403895
20,86943872,17401795
12,86949672,17399527
20,86937083,17404960
12,86941693,17401998
12,86911235,17393165
12,86911233,17393164
20,86904733,17393807
18,86938963,17404072
10,86936247,17402406
12,86940471,17404991
20,86949204,17401303
12,86945027,17402042
12,86943909,17402029
12,86940126,17403905
20,86943910,17402030
12,86949261,17401483
12,86942878,17402255
12,86950445,17401657
12,86901664,17394925
12,86949250,17401482
12,86911499,17394101
12,86899023,17393468
12,86909337,17394298
12,86911505,17394102
12,90677562,18174528
18,90677523,18173865
10,90677648,18174539
12,90677648,18174540
9,90677485,18174517
12,86945868,17404592
12,86945872,17404594
12,86930400,17398603
12,86928341,17395304
12,86916890,17397046
18,86920376,17397993
12,86931782,17402342
12,86930385,17398600
20,86916892,17397047
12,86910007,17392925
18,86910007,18094364
12,86927008,17398319
12,86949568,17399317
12,86929484,17395527
2,86928377,17395520
12,86932561,17404656
12,86919937,17396618
12,86932580,17404658
18,86919684,17395621
3,86928529,17395979
12,86928340,17395303
12,86910241,17393623
12,86927818,17397380
20,86930365,17398596
12,86943835,17401786
12,86945954,17404821
3,86957618,17399842
12,86955131,17399390
12,86957620,17399843
12,86939307,17404976
12,86941704,17402002
12,86951335,17401134
12,86958139,17401389
12,86952332,17400937
20,86939305,17404975
12,86927030,17398326
18,86945869,17404593
12,86949314,17401640
12,86954449,17400575
20,86936262,17402407
12,86940489,17401742
12,86958920,17400437
9,86907149,17394509
12,86950079,17400728
12,86940470,17404990
20,86921589,17394946
12,86939302,17404974
11,86942060,17403102
12,86938114,17404725
12,86940482,17404994
12,86958918,17400436
20,86951514,17401660
12,86921590,17394947
18,86950080,17400729
12,90676081,18173862
12,90678125,18173869
12,91124751,18269693
12,94087190,18880320
2,86951325,17401131
18,86936295,17402600
12,86943854,17401792
12,86926972,17398071
2,86950358,17401492
12,86950420,17401653
12,86942831,17402020
2,86954441,17400573
2,86954357,17400205
2,86950383,17401494
2,86951326,17401132
12,86943903,17402027
12,86938142,17404962
12,86942832,17402021
12,86941734,17402238
18,86926971,17398070
2,86958127,17401385
2,86954358,17400399
20,86943853,17401791
12,86942834,17402022
2,86951561,17398774
12,86955255,17399614
12,86936297,17402601
18,86936303,17402602
12,86931739,17402113
12,86931740,17402114
3,86923595,17398016
12,94087281,18879448
20,86935440,17403451
20,86933394,17403833
20,86909354,17394300
20,86909353,17394299
9,86914003,17398612
18,86914003,18094531
18,86914002,17398611
12,86911514,17394105
12,86896637,17392983
20,86902384,17393527
20,86906265,17391451
12,91618859,18373056
20,86902477,17393991
12,86902495,17393993
12,86909116,17393610
18,86909116,18094385
12,86911216,17393162
20,86901681,17394926
12,86909113,17393608
12,86909115,17393609
10,86906278,17391454
12,86909369,17394301
12,86902496,17393994
12,86903947,17391175
20,86902499,17393995
12,86911483,17394100
12,86902500,17393996
12,86896664,17393196
12,86904721,17393804
12,86909136,17393613
12,86909379,17394547
12,86935404,17403241
12,86933329,17403663
12,86929323,17398594
12,86925424,17396685
12,86911518,17394107
20,86911517,17394106
12,86906273,17391453
12,86902515,17393997
20,86951480,17401506
18,86937301,17402198
12,86951482,17401508
9,86927885,17397635
20,86945857,17404590
12,86951481,17401507
12,86949304,17401639
12,86906248,17391449
20,86896885,17393917
12,86904726,17393805
12,86902532,17393998
20,86902533,17394204
12,86909383,17394549
20,86911528,17394110
9,86909385,17394551
12,86910414,17394099
12,86906301,17391681
2,86909384,17394550
12,86906299,17391680
18,86902534,17394205
12,86903910,17394944
12,86896928,17393918
12,86905476,17392641
12,86909381,17394548
20,86909139,17393614
2,86911226,17393163
12,86906241,17391446
12,86927024,17398325
