year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2016,Pennsylvania,PA,16830,PA0460100,Abington Township,55753,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15651,PA0010000,Adams,0,9D,"MSA counties under 10,000",0,4,0,0,0,0,0
2016,Pennsylvania,PA,16584,PA0361500,Adamstown,1846,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16051,PA0103300,"Adams Township, Butler County",13251,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16095,PA0115200,"Adams Township, Cambria County",5758,6,"Cities from 2,500 thru 9,999",0,7,0,0,0,0,0
2016,Pennsylvania,PA,16585,PA0361600,Akron,4001,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16422,PA0250800,Albion,1469,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16683,PA0391400,Alburtis,2412,7,"Cities under 2,500",0,10,0,0,0,0,0
2016,Pennsylvania,PA,16395,PA0234000,Aldan,4170,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15693,PA0020N00,Aleppo Township,1911,7,"Cities under 2,500",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15829,PA0040100,Aliquippa,9197,6,"Cities from 2,500 thru 9,999",0,11,0,0,0,0,0
2016,Pennsylvania,PA,15671,PA0020000,Allegheny,0,9D,"MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15726,PA0022000,Allegheny County District Attorney Criminal Investigation Division,0,9D,"MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15721,PA0021J00,Allegheny County Housing Authority,0,9D,"MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15734,PA0022800,Allegheny County Police Department,0,9D,"MSA counties under 10,000",0,6,0,0,0,0,0
2016,Pennsylvania,PA,15737,PA0022D00,Allegheny County Port Authority,0,9D,"MSA counties under 10,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16097,PA0115400,Allegheny Township,2840,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2016,Pennsylvania,PA,15951,PA0070700,"Allegheny Township, Blair County",6643,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,17229,PA0652800,"Allegheny Township, Westmoreland County",8262,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16670,PA0390100,Allentown,119335,2,"Cities from 100,000 thru 249,000",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15945,PA0070100,Altoona,45379,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15961,PA007A19P,Altoona Hospital,0,7,"Cities under 2,500",0,0,0,0,1,1,0
2016,Pennsylvania,PA,16831,PA0460200,Ambler,6522,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15830,PA0040200,Ambridge,6858,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,15933,PA0065000,Amity Township,12831,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2016,Pennsylvania,PA,16644,PA0380100,Annville Township,4882,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
