property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
96795320,83457465,7,,,
96795328,83457473,6,,,
97919547,84661377,6,,,
98339866,85116218,6,,,
99581580,86471100,7,,,
99581175,86471112,6,,,
104027031,91337123,7,,,
99581171,86471104,7,,,
100061966,87003508,7,,,
100062651,87004543,1,,,
100062655,87004547,1,,,
102145264,89283567,7,,,
102145265,89283568,6,,,
96795115,83458061,7,,,
96795118,83457494,7,,,
96795120,83458064,7,,,
96795347,83458063,7,,,
96795128,83458072,6,,,
96795346,83457491,7,,,
96795350,83457500,7,,,
96795367,83457515,7,,,
96795142,83458090,7,,,
96795156,83458537,7,,,
96795136,83458087,7,,,
96795374,83458087,5,,,
96795151,83458104,4,,,
97193946,83887601,7,,,
96795149,83458103,4,,,
96795141,83458091,4,,,
97194746,83886700,7,,,
96795146,83458530,4,,,
96795155,83458107,4,,,
96795377,83458524,4,,,
96795387,83458101,4,,,
96795369,83458518,6,,,
96795140,83458522,4,,,
97193951,83886703,6,,,
97193949,83886701,7,,,
97193947,83887602,4,,,
97194747,83886702,7,,,
97194751,83886704,4,,,
97194745,83887600,4,,,
97919590,84662922,7,,,
97920197,84662917,6,,,
97919583,84661429,7,,,
97920200,84661436,6,,,
97919623,84662956,4,,,
97920221,84661460,6,,,
97919603,84662935,7,,,
97920247,84661489,6,,,
97919611,84662942,4,,,
97920236,84661478,6,,,
97920211,84661450,7,,,
98339901,85116256,6,,,
97919607,84661456,6,,,
97920214,84661452,7,,,
97919608,84662940,6,,,
97920241,84661483,7,,,
97920202,84661437,4,,,
97920245,84661488,1,,,
97919593,84662924,6,,,
97920240,84661482,7,,,
97920251,84661492,4,,,
97919606,84661454,4,,,
102144868,89284565,7,,,
98339917,85116271,7,,,
98339924,85116280,7,,,
98339906,85116644,7,,,
98339921,85116275,7,,,
98339918,85116272,7,,,
98338880,85116268,6,,,
98339909,85116263,7,,,
98339911,85116265,4,,,
98338890,85116279,4,,,
98338891,85116279,7,,,
98809948,85621565,1,,,
98809950,85621565,7,,,
98338875,85116250,7,,,
98339904,85116260,6,,,
98338874,85116248,4,,,
98339915,85116269,7,,,
98809951,85621050,4,,,
100061980,87004582,7,,,
98804063,85621052,6,,,
98809949,85621049,7,,,
98809945,85621045,4,,,
98804064,85621567,4,,,
99581583,86471108,6,,,
99190430,86039617,6,,,
98809953,85621051,7,,,
99581177,86470471,7,,,
99190009,86038984,7,,,
99190010,86038985,6,,,
98809946,85621046,4,,,
98804062,85621564,3,,,
98809954,85621053,7,,,
99581581,86471105,6,,,
98809947,85621047,7,,,
98809955,85621056,6,,,
98809952,85621566,7,,,
99581582,86471107,7,,,
99581169,86471102,6,,,
100062696,87004587,7,,,
99581594,86471121,7,,,
99581170,86471103,7,1,,
100062691,87004584,1,,,
100062692,87004584,4,,,
99581172,86470467,2,,,
100062700,87005536,7,,,
100061983,87004597,1,,,
100062723,87004613,7,,,
100062722,87004612,7,,,
100062720,87004610,6,,,
100062707,87004598,7,,,
100062717,87004608,7,,,
100062709,87004600,7,,,
100062704,87004594,7,,,
100062721,87004611,7,,,
100062719,87004611,1,,,
100062705,87004595,7,,,
100062706,87005537,7,,,
100453876,87430300,7,,,
100062725,87004614,1,,,
100062730,87004622,1,,,
100062000,87004632,7,,,
100061999,87004629,7,,,
100062733,87004624,7,,,
100062735,87004626,7,,,
100062744,87005552,7,,,
100062732,87004623,4,,,
100061998,87004628,7,,,
100061987,87005543,7,,,
100454348,87430302,7,,,
100454350,87430825,7,,,
100454349,87430825,5,,,
100453886,87430840,7,,,
100454359,87430845,7,,,
102145321,89284569,7,,,
100454352,87430827,7,,,
100454355,87430835,7,,,
100454345,87430301,3,,,
104025937,91336280,7,,,
102145372,89283686,7,,,
102144869,89283616,7,,,
102145351,89284594,4,,,
102145374,89284610,7,,,
102145363,89284603,7,,,
102145336,89283648,6,,,
102145352,89283664,7,,,
102144884,89283646,7,,,
102145346,89284590,7,,,
102144882,89283645,3,,,
102145354,89283665,7,,,
102144910,89283679,7,,,
102145370,89283679,4,,,
102144891,89284587,4,,,
102144904,89284601,4,,,
102144897,89283660,4,,,
104025928,91336271,7,,,
104025927,91336270,7,,,
98809809,85614430,4,,,
98803931,85620896,1,,,
98803932,85620896,6,,,
96794899,83457830,6,,,
98803930,85614432,4,,,
97193790,83886419,6,,,
98803935,85620898,4,,,
98803938,85614442,7,,,
98803942,85620904,7,,,
98809819,85620906,4,,,
98803944,85614448,7,,,
98803943,85614446,7,,,
100453154,87430622,7,,,
100453153,87430621,7,,,
99189854,86038394,7,,,
100453150,87430616,7,,,
100453152,87430618,7,,,
100453757,87430151,4,,,
100453155,87430152,4,,,
100061784,87004263,7,,,
100453758,87430153,7,,,
100453759,87430154,7,,,
102813476,90015621,7,,,
102813478,90015623,6,,,
102813475,90015620,4,,,
100454187,87430657,4,,,
96794906,83457833,4,,,
97193801,83886424,7,,,
97194648,83886595,6,,,
97194641,83886425,6,,,
100061826,87003353,4,,,
101515631,88604558,7,1,,
100061824,87003350,7,,,
100061825,87004300,7,,,
100061835,87003363,4,,,
100062468,87004323,7,,,
100062466,87004319,7,,,
100061834,87003362,7,,,
101516386,88604557,7,,,
101516387,88604559,7,,,
104293559,91619191,6,,,
96435329,83068538,7,,,
96434479,83067208,7,,,
96795273,83457984,7,,,
96795057,83457421,4,,,
96795269,83457410,4,,,
98803980,85614486,7,,,
98809878,85614510,5,,,
98804005,85614510,7,,,
98809855,85620953,5,,,
98809858,85620953,7,,,
98803976,85614483,4,,,
98803977,85620944,7,,,
98809879,85614511,7,,,
99190394,86039583,4,,,
99189989,86038954,7,,,
99190400,86038954,5,,,
99189979,86039578,7,,,
99189969,86038936,7,,,
99189972,86038940,4,,,
99189971,86039564,7,,,
99190401,86039595,7,,,
99189990,86038955,7,,,
99190379,86039558,4,,,
99190382,86039561,6,,,
99189996,86039600,7,,,
99189995,86039600,1,,,
99190409,86038967,5,,,
99190411,86038967,7,,,
99189999,86039604,7,,,
99190426,86039612,7,,,
99190002,86038972,7,,,
99190421,86038976,7,,,
99190424,86039609,7,,,
99581549,86470441,7,,,
99581148,86470440,5,,,
99581543,86470440,7,,,
99581158,86470449,7,,,
99581153,86471075,7,,,
99581557,86471081,3,,,
99581149,86471069,4,,,
99581545,86471069,7,,,
99581152,86470442,4,,,
99581564,86471087,1,,,
99581565,86471087,7,,,
102145232,89283533,4,,,
102144812,89283499,4,,,
102145228,89283492,7,,,
102145227,89283491,4,,,
100454272,87430742,6,,,
102145243,89283547,4,,,
102145242,89283511,7,,,
101515812,88604765,4,,,
101516598,88605543,6,,,
102144832,89284523,7,,,
102144834,89284525,7,,,
102145251,89284525,5,,,
97193934,83886685,7,,,
96795390,83458538,7,,,
96795406,83458126,3,,,
96795144,83458529,4,,,
96796184,83458134,7,,,
96795384,83458097,7,,,
96795340,83457485,6,,,
96795386,83458100,7,,,
96796191,83458139,7,,,
96796216,83458163,7,,,
96796205,83458567,7,,,
96795160,83458111,6,,,
96795355,83458075,7,,,
96795158,83458543,1,,,
96795394,83458543,4,,,
96434542,83067277,7,,,
96795344,83457492,1,,,
96795134,83458082,7,,,
96795388,83458102,7,,,
97193939,83887592,4,,,
96795385,83458533,7,,,
96796186,83458557,7,,,
96796214,83458160,4,,,
96434544,83067279,7,,,
96795338,83457484,7,,,
96795393,83458542,1,,,
96435402,83068611,1,,,
96434543,83067278,1,,,
96795177,83458555,1,,,
96796208,83458155,7,,,
96795440,83458594,7,,,
96795125,83458067,7,,,
96795359,83457506,7,,,
96795418,83458564,4,,,
96796218,83458165,7,,,
96795381,83458528,7,,,
96795157,83458541,7,,,
96795368,83458516,4,,,
98804083,85621586,7,,,
99190429,86038982,7,,,
97193931,83887581,1,,,
96796383,83458323,4,,,
96796414,83458349,4,,,
96796437,83458374,4,,,
96796451,83458386,4,,,
96796492,83458442,6,,,
96795467,83458626,7,,,
96796364,83458301,4,,,
96796395,83458330,7,,,
96796429,83458364,4,,,
96796443,83458378,4,,,
96796266,83458613,7,,,
96796367,83458303,4,,,
96796404,83458340,4,,,
96796431,83458369,7,,,
96796447,83458382,4,,,
96795543,83458407,4,,,
96795461,83458221,6,,,
96796380,83458317,1,,,
96796405,83458343,4,,,
96796440,83458376,7,,,
96796278,83458219,1,,,
96795525,83458697,7,,,
96795528,83458700,4,,,
96795533,83458708,7,,,
96795547,83458722,7,,,
96796323,83458265,7,,,
96796298,83458641,7,1,,
96795501,83458671,6,,,
96795513,83458684,4,,,
96796274,83458213,7,,,
96796363,83458674,4,,,
96795544,83458719,7,,,
96795481,83458651,5,,1,
96795482,83458651,7,1,,
96795506,83458678,4,,,
96795518,83458692,4,,,
96795531,83458707,4,,,
96795548,83458723,7,,,
96795555,83458731,7,,,
96795462,83458622,7,,,
100062681,87004572,7,,,
102813615,90016536,7,,,
97193957,83887613,4,,,
97193958,83887615,7,,,
97193986,83887644,7,,,
97193954,83887612,4,,,
97193971,83887629,7,,,
97193980,83887638,7,,,
97194774,83887649,7,,,
97194783,83886739,7,,,
97194010,83887674,7,,,
97194016,83887682,7,,,
97194773,83887648,4,,,
97194794,83886752,7,,,
97194030,83887701,7,,,
97194760,83886712,7,,,
97194806,83886760,6,,,
97194784,83886741,6,,,
97544643,84260514,3,,,
97193974,83886720,7,,,
97194793,83886749,7,,,
97193961,83887623,6,,,
97194005,83887669,6,,,
97194752,83886706,7,,,
97193976,83887634,7,,,
97194031,83887704,4,,,
97194771,83886727,7,,,
97194762,83886716,7,,,
97194761,83886716,5,,,
97194029,83887699,4,,,
97194753,83887614,4,,,
97194008,83886744,4,,,
97194775,83887650,4,,,
97194020,83887686,7,,,
98809989,85621080,7,,,
