agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
17780,SC0310000,SC0310000,Lee County Sheriff's Office,Lee,2,County,,,,,45,SC,2437,Lee,45061,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1996,14566,8C,"Non-MSA counties from 10,000 thru 24,999",L,N,N,12,12,10,,,,2014,25,8,29010,34.15864,-80.251209
17551,SC0100400,SC0100400,Folly Beach Police Department,Folly Beach,1,City,,,9705,Folly Beach,45,SC,2416,Charleston,45019,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2002,2769,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,17,13,29439,32.800458,-79.94248
17813,SC0332600,SC0332600,State Transport Police: McCormick County,State Transport Police: McCormick County,6,Other State Agency,,,,,45,SC,2441,Mccormick,45065,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,5,,,,,,,29016,33.897605,-82.316192
17515,SC006SP00,SC006SP00,Highway Patrol: Barnwell County,Highway Patrol: Barnwell County,4,State Police,,,,,45,SC,2412,Barnwell,45011,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2015,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,9,,,,2016,3,0,29812,33.260602,-81.434102
17794,SC0320600,SC0320600,Chapin Police Department,Chapin,1,City,,,9667,Chapin,45,SC,2438,Lexington,45063,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2002,1551,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,7,0,29036,33.892556,-81.272851
17490,SC0041000,SC0041000,West Pelzer Police Department,West Pelzer,1,City,,,9790,Pelzer,45,SC,2410,Anderson,45007,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2011,903,7,"Cities under 2,500",L,Y,N,12,12,8,,,,2016,3,1,29669,34.519549,-82.638086
17959,SC044NR00,SC044NR00,Department of Natural Resources: Union County,Department of Natural Resources: Union County,6,Other State Agency,,,,,45,SC,2450,Union,45087,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,6,,,,2016,3,0,29201,34.690429,-81.615891
17531,SC0080500,SC0080500,St. Stephen Police Department,St. Stephen,1,City,,,9805,Saint Stephen,45,SC,2414,Berkeley,45015,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2015,1797,7,"Cities under 2,500",L,Y,N,12,12,8,,,,2016,6,0,29479,33.2077,-79.953655
17498,SC0050200,SC0050200,Denmark Police Department,Denmark,1,City,,,9688,Denmark,45,SC,2411,Bamberg,45009,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1996,3334,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,10,1,29042,33.203021,-81.053161
17831,SC0352600,SC0352600,State Transport Police: Marlboro County,State Transport Police: Marlboro County,6,Other State Agency,,,,,45,SC,2440,Marlboro,45069,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,7,,,,2001,4,0,29016,34.601805,-79.677942
17748,SC027NR00,SC027NR00,Department of Natural Resources: Jasper County,Department of Natural Resources: Jasper County,6,Other State Agency,,,,,45,SC,2433,Jasper,45053,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2014,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2016,4,0,29201,32.43059,-81.021627
17732,SC0260600,SC0260600,Myrtle Beach Police Department,Myrtle Beach,1,City,,,9769,Myrtle Beach,45,SC,2432,Horry,45051,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,30731,4,"Cities from 25,000 thru 49,999",L,N,Y,12,12,10,,,,2016,219,81,29577,33.909269,-78.976675
17579,SC0120300,SC0120300,Fort Lawn Police Department,Fort Lawn,1,City,,,9706,Fort Lawn,45,SC,2418,Chester,45023,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2003,864,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,2,1,29714,34.689345,-81.161249
17614,SC015SP00,SC015SP00,Highway Patrol: Colleton County,Highway Patrol: Colleton County,4,State Police,,,,,45,SC,2421,Colleton,45029,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2015,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,8,,,,2016,10,0,29488,32.835018,-80.655244
17544,SC009FC00,SC009FC00,Forestry Commission: Calhoun County,Forestry Commission: Calhoun County,6,Other State Agency,,,,,45,SC,2415,Calhoun,45017,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2004,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2008,1,0,29221,33.67478,-80.780347
17676,SC021NR00,SC021NR00,Department of Natural Resources: Florence County,Department of Natural Resources: Florence County,6,Other State Agency,,,,,45,SC,2427,Florence,45041,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2015,0,9E,MSA State Police,L,Y,N,12,12,6,,,,2016,8,2,29201,34.028535,-79.710233
17857,SC037NR00,SC037NR00,Department of Natural Resources: Oconee County,Department of Natural Resources: Oconee County,6,Other State Agency,,,,,45,SC,2443,Oconee,45073,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2014,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,7,,,,2016,4,0,29201,34.748758,-83.061522
17529,SC0080300,SC0080300,Goose Creek Police Department,Goose Creek,1,City,,,9713,Goose Creek,45,SC,2414,Berkeley,45015,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1971,,2016,2013,1991,41430,4,"Cities from 25,000 thru 49,999",L,Y,N,12,12,10,,,,2016,63,27,29445,33.2077,-79.953655
