arrestee_id,weapon_id,nibrs_arrestee_weapon_id
24483486,1,24503210
24957473,1,24977602
24957471,1,24977599
24957476,1,24977607
24957796,1,24977973
25889198,1,25910823
26213513,1,26235479
24040105,1,24060072
24041107,1,24059520
24041177,1,24060226
24041129,1,24060178
24040136,1,24059468
24041178,7,24060225
24040109,1,24060079
24041124,1,24060173
24040208,1,24059540
24485728,1,24505828
24041148,1,24060200
24040233,1,24059568
24041020,1,24060071
24041038,1,24059456
24041115,1,24060165
24040158,7,24059488
24040160,1,24059490
24040216,1,24059548
24041033,3,24060086
24219478,3,24239177
24040182,1,24059509
24041163,1,24060211
24040237,1,24060231
24040221,1,24059554
24041082,1,24060133
24041090,1,24060144
24040173,1,24059504
24040174,1,24059505
24041161,1,24059556
24040205,1,24060186
24040202,7,24059536
24040202,8,24059535
24041121,1,24059530
24484081,1,24504186
24484079,1,24504185
24483985,1,24504085
24484362,1,24503684
24220705,1,24240050
24220923,1,24240270
24219560,1,24239903
24219561,1,24239904
24219531,1,24239876
24220674,3,24240024
24220175,1,24240089
24220305,1,24240234
24220872,1,24239508
24220177,1,24239398
24220726,1,24240069
24220161,1,24239384
24220728,1,24240071
24220725,1,24240068
24220727,1,24240070
24220276,1,24239496
24220275,1,24240197
24219593,1,24239940
24220616,1,24239965
24219521,1,24239866
24220192,1,24239413
24219542,1,24239887
24220926,1,24240271
24220208,1,24239427
24220139,1,24240022
24220037,1,24239929
24220682,1,24240029
24220911,1,24239547
24220909,1,24240257
24220779,1,24240126
24220813,1,24240159
24220870,1,24240217
24220899,1,24240246
24220329,1,24239548
24219981,1,24239854
24219535,1,24239880
24219567,1,24239911
24219568,1,24239913
24219570,1,24239915
24220736,1,24240081
24220234,3,24239453
24219596,1,24239944
24220890,1,24240235
24220852,1,24240198
24220863,1,24240210
24220651,1,24240000
24220706,1,24240051
24220619,1,24239967
24219538,1,24239883
24219555,1,24239898
24220107,1,24239323
24220647,1,24239325
24220243,1,24239462
24220242,1,24239461
24220245,1,24239463
24220241,1,24239460
24220246,1,24239464
24220744,1,24240087
24220173,1,24239396
24220935,1,24240281
24220933,3,24240279
24220934,1,24240280
24220345,1,24239566
24220858,1,24240204
24220857,1,24240203
24219600,1,24239948
24220653,1,24240002
24219503,1,24239849
24220795,1,24239433
24220617,1,24239297
24797929,1,24817977
24797931,1,24818796
27112116,3,27135932
24484704,1,24503430
24484783,1,24503516
24484782,1,24503515
24484874,1,24503613
24484238,1,24503585
24484702,1,24503428
24484879,1,24503617
24483965,1,24504068
24483981,7,24504082
24483964,1,24503282
24484890,1,24503629
24484388,3,24504717
24484976,1,24504721
24484998,1,24504741
24484232,1,24503583
24484339,1,24504431
24484341,1,24504432
24484343,1,24504434
24484345,1,24504436
24484346,1,24504437
24484344,1,24504435
24484854,1,24503584
24483594,1,24503326
24484624,1,24503356
24484868,1,24503608
24484372,1,24504461
24485037,1,24504778
24485034,1,24504775
24484156,1,24504255
24485017,1,24504759
24484028,1,24504131
24484689,1,24503415
24484327,1,24504417
24484228,1,24504331
24484997,1,24504742
24484294,1,24503630
24484291,1,24504384
24484700,3,24503425
24484104,1,24504209
24484994,1,24504739
24484992,1,24504737
24484993,1,24504738
24483598,1,24503330
24484120,1,24503460
24485635,1,24505730
24484975,1,24504720
24484724,1,24503451
24484097,1,24504203
24484098,1,24504204
24483556,1,24503284
24484340,1,24504430
24484691,1,24503416
24484095,1,24504201
24484289,1,24504382
24485664,1,24505758
24484792,1,24503525
24484987,1,24504732
24484769,7,24503498
24484720,1,24503447
24483613,1,24503346
24484644,1,24503371
24484745,1,24503476
24484815,1,24503546
24483966,1,24504069
24484085,1,24504191
24484093,1,24504199
24484094,1,24504200
24798711,1,24817981
24798712,1,24817982
24797934,1,24818799
24797935,1,24818800
24798710,1,24817980
25043114,1,25064260
24797733,1,24817606
24485077,1,24504818
24484483,1,24504820
24484538,1,24504628
24485176,3,24504919
24485175,3,24504918
24485538,1,24505271
24485329,1,24505063
