criminal_act_id,offense_id
6,92341034
6,93904060
6,93904068
9,93904064
6,93904063
6,93904073
6,93904062
6,93905113
6,98390487
8,97248529
6,98389844
6,98390484
9,92346278
9,90879369
9,90878907
9,90878411
9,90878596
9,90879211
9,91461304
9,90879134
9,90878613
9,90878703
9,90878798
9,90878818
6,90878954
9,90878442
6,90878749
6,90878065
9,90878547
9,90878470
9,90879433
9,90878871
9,90878563
9,90878577
9,90878728
9,90878976
6,90877980
9,90878826
9,90878741
9,90879139
9,90878942
9,90878661
9,90878726
9,90879124
9,90878051
9,90878099
9,90878537
9,90878789
9,90879353
6,90878627
9,90878972
3,90878716
6,90878930
6,90877964
9,90878494
9,90878722
9,90879140
6,90878825
9,90879115
9,91459300
6,91459297
8,92349708
6,90879179
6,90878884
9,90878973
9,90878820
3,90879364
9,90879142
9,90878046
9,90878799
9,90878607
6,90879146
6,90879175
2,90878695
6,90878916
2,90878696
6,90879168
9,90878801
6,90878875
9,91459428
6,90879296
9,90878598
9,90878647
6,90879288
9,90877988
6,90878737
6,90879254
9,90878888
9,94209635
6,92343899
6,92343900
9,92344131
3,92343485
3,92345747
6,91459889
9,91459762
9,92342331
3,92347009
6,91461677
6,91459488
9,91458711
6,91459838
9,91461214
9,91459408
6,91460247
6,91461578
6,91461580
3,92347800
6,91460697
6,91460701
3,92342429
3,92345168
6,92345358
8,91460260
6,91459974
9,91460209
9,91460829
6,91461416
3,91458880
9,91459590
6,91459674
6,91458965
6,91459410
9,91460891
9,91458613
7,91460086
9,91460850
6,91458759
6,91459463
6,91458951
10,91460317
6,91461680
9,91461365
9,91460407
6,91460105
6,91458840
6,91459854
3,91460544
9,91461187
6,91461640
6,91461161
6,91461287
6,91460679
6,91461482
6,91461613
9,91461614
6,91461667
9,91458659
6,91458738
6,91459504
9,91459508
8,91460227
8,91460004
6,91461300
9,91461490
9,91458872
9,91461381
6,91461424
9,91461451
6,91459781
6,91459891
6,91460195
9,91461167
9,91458607
9,91458774
6,91458967
6,91458740
6,91459480
6,91459773
3,91461340
7,91461340
8,91461340
3,91460983
3,91459350
9,91461485
9,91460243
9,91459051
6,91461434
6,91461435
6,91459609
9,91461195
6,91459782
9,91461744
3,91460036
6,91461256
6,91459363
6,91459361
9,91459593
9,91458968
6,91461217
3,91461314
9,91459552
6,91458963
3,93366115
3,93366120
9,94208841
9,101503826
6,92342865
6,92345189
3,92344277
6,92345523
6,92345467
6,92342858
6,92344622
9,92345957
6,92342325
9,92343450
9,92343579
9,92343359
9,92343500
3,92345257
3,92345314
9,92345568
8,92345019
9,92345869
9,92345935
6,92344531
9,92342717
6,92344881
6,92344544
6,92342496
6,92342638
7,92342638
3,92342638
6,92345379
6,92345514
9,92342441
9,92345795
6,92345799
9,92345797
6,92346050
9,92347818
6,92344213
3,92344274
9,92345987
9,92343689
6,92343829
6,92345696
9,92344721
6,92344803
9,92344396
9,92344511
6,92345933
9,92343870
9,92344210
6,92345570
9,92342857
6,92344001
6,92345930
9,92342661
9,92346194
9,92343603
3,92347055
9,92345436
9,92345507
6,92342926
9,92343000
9,92344448
6,92344873
9,92342815
9,92342917
6,92343966
6,92345565
9,92344949
9,92347919
9,92348520
9,92343545
9,92345838
9,92342618
6,92344269
6,92344268
6,92345097
9,92342401
9,92344292
6,92344579
3,92345246
9,92345709
9,92345116
6,92342937
6,92344160
3,92345273
9,92342588
6,92342684
6,92343037
6,92343368
6,92343369
6,92343925
6,92343923
6,92342907
6,93365646
6,94210429
9,93364350
9,94209638
9,92839630
3,100886602
9,102265295
9,92347185
6,92346430
6,92347240
7,92346856
9,92348472
9,92348760
9,92346314
9,92347298
9,92348871
6,92347427
6,92347620
9,92349763
9,92349832
6,92349152
9,92348489
9,92346783
6,92349205
6,92349204
6,92347887
9,92349656
6,92347361
6,92346589
9,92347915
9,92349303
6,92347671
9,92347118
6,92348746
9,92348017
6,92347621
11,92348261
6,92347904
9,92348386
9,92349127
9,92347314
9,92347415
9,92348969
9,92348207
9,92347390
6,92348244
9,92349323
6,92346090
9,92346354
9,92349258
9,92348066
9,92347580
6,92349215
9,92349627
6,92349039
9,92346870
9,92347918
1,92348560
9,92348336
6,92348393
9,92347488
6,92348826
9,92347867
9,92347994
9,92347995
8,92348008
6,92348709
6,92349213
9,92348092
3,92349502
9,92347306
6,92347557
6,92349516
6,92349106
9,92349718
9,92840002
6,92349211
