suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,97787546,,,7222705
5,99044086,299,1,7405153
5,99044094,2500,1,7405161
5,99044088,11400,1,7405156
2,99044097,,,7405163
5,99044087,2899,1,7405154
5,99043153,,,7405936
5,102669673,699,1,7885432
5,101741441,1500,1,7765842
5,102668745,599,1,7884865
5,102669670,1000,1,7885431
5,96601730,200,1,7046949
5,96601585,1000,1,7046928
2,96601440,2,1,7046890
5,96601030,1300,1,7046881
5,96601512,3800,1,7046904
1,96601564,500,1,7047829
5,96602410,50,3,7047856
5,96601015,17000,1,7047788
5,96602326,100,1,7046936
5,97064922,12600,1,7117409
5,96602193,13000,1,7047817
5,96602374,2000,1,7046945
5,96602359,5500,4,7046941
1,96601169,100,1,7046905
5,96601528,5000,1,7046909
5,96602400,1300,1,7046946
5,96601524,35000,1,7046907
2,96601524,11600,3,7046906
5,96601676,2000,1,7046942
12,96601612,41000,9,7047841
5,96602288,7000,1,7047840
5,96602259,9000,1,7047835
5,97788866,50,1,7223326
8,97788866,10000,7,7223327
5,97787924,4000,4,7222750
4,97790750,1000,1,7223440
5,97065642,5000,1,7117495
1,97791859,800,1,7223082
16,97066924,56000,9,7117595
5,97065336,5000,1,7116786
2,97065336,500,1,7117442
5,97065616,1000,1,7117490
5,97065731,1000,1,7116860
5,97066844,5000,1,7117574
4,97791875,300,1,7223084
5,97066099,8000,1,7116898
5,97787909,14800,1,7222749
1,97789534,800,1,7222857
8,97789696,1000,9,7222884
5,97065746,6000,1,7117512
5,97066425,5000,1,7117505
1,97066056,1000,1,7116896
5,97065416,1000,1,7116805
5,97065480,1000,1,7117460
12,97064999,10,1,7117426
5,97066505,4000,1,7117517
5,97065306,12000,1,7117435
5,97065471,30000,1,7116815
8,97067260,10000,9,7116922
5,97065610,800,1,7116843
5,97065387,3700,1,7116799
5,97065625,6000,1,7117492
2,97065979,1000,1,7116884
2,97067248,16000,1,7116921
5,97066560,1000,1,7117526
5,97066641,1000,1,7116879
5,97066087,5000,1,7117561
5,97066872,2000,1,7117579
5,97066917,2000,1,7117593
16,97066917,3500,9,7117594
1,97065288,300,1,7116777
2,97065288,300,1,7116778
5,97065076,7000,1,7117445
5,97065713,200,1,7117509
5,97066657,2000,1,7117542
1,97066735,1000,1,7117555
5,97066289,2000,1,7117480
5,97066375,6000,1,7116852
5,97065483,1000,3,7117461
5,97065292,2000,1,7116779
8,97065329,9000,9,7116785
5,97066283,30500,1,7117479
16,97066685,1000,1,7117546
5,97066966,8000,1,7116927
5,97064955,3500,1,7117417
16,97066745,1000,9,7117557
5,97065162,1000,7,7116808
2,97066291,1500,1,7117481
5,97065754,14000,1,7116863
5,97064961,14000,1,7117420
16,97065895,30000,9,7117529
2,97066669,1000,1,7117543
5,97065476,5000,1,7116817
4,98612773,2000,1,7347967
4,98611994,300,1,7347968
16,97788883,500,9,7222807
5,97789152,27000,1,7223364
5,97790200,10000,1,7223369
5,97789837,8000,1,7222896
5,97789784,400,1,7222891
5,97788879,13000,1,7223328
5,97790495,13600,1,7223405
5,97787804,1000,1,7222740
5,97789616,16000,1,7222871
2,97790270,500,1,7222878
13,97790860,11000,9,7223457
5,97790860,6000,1,7223456
5,97790416,1200,1,7223399
5,97790722,3100,1,7223435
5,97790428,1300,1,7223400
5,97788545,3000,1,7222759
2,97788545,6000,1,7222758
2,97788671,19500,4,7223285
5,97789708,1000,1,7222886
5,97789827,5000,1,7222894
8,97790812,20000,9,7223447
8,97791254,4000,9,7222960
1,97791254,250,1,7222957
5,97791254,2000,1,7222959
5,97789144,6000,1,7223362
8,97789144,3000,9,7223363
5,97789596,10000,1,7222865
5,97788808,1000,1,7223317
5,97789968,1000,1,7222920
2,97790654,24000,1,7223428
4,97790913,30000,9,7222939
5,97790548,2000,1,7222903
5,97788956,1000,1,7223337
5,97790142,3000,1,7222938
4,97791898,800,1,7223087
2,97789334,17000,1,7222817
5,97789978,12000,1,7223431
16,97789326,50000,9,7222815
8,97789868,18000,9,7222902
5,97789584,9000,1,7222861
5,97790129,1000,1,7222937
5,97790463,8350,1,7223402
1,97790463,9500,1,7223401
7,97789605,2000,9,7222866
5,97789342,3500,1,7222819
5,97789092,50,1,7222854
12,97790231,1000,1,7223374
5,97788148,4000,1,7222782
5,97789429,10000,4,7222839
5,97787813,5000,1,7222742
5,97788892,8000,1,7223329
5,97788927,8000,1,7222813
1,98612797,34640,1,7348802
5,99290063,200000,1,7439407
7,104656146,1000,1,8180924
5,97791413,4000,1,7222982
4,97791768,4000,3,7223582
5,97792350,1000,1,7223532
5,97792479,28000,1,7223575
2,97792479,1000,1,7223574
1,97792966,200,1,7223682
5,97793020,3000,1,7223690
2,97791942,100,1,7223092
5,97791529,30000,1,7222997
8,97791529,300,1,7222998
15,97792513,1000,9,7223066
5,97794271,20000,1,7223727
8,97792480,1000,8,7223576
5,97791957,500,1,7223094
5,97793204,2000,1,7223691
5,97792946,100,1,7223676
5,97793556,2000,1,7224201
5,97792048,7000,1,7223115
16,97794233,16500,9,7223180
5,97793201,2000,1,7223130
4,97793445,500,1,7223183
5,97791691,2000,1,7223037
5,97793457,3000,1,7223186
12,97792125,1600,1,7223121
5,97793200,2000,1,7223129
8,97792517,4000,9,7223584
16,98191143,7000,9,7286521
5,98611270,1000,1,7347880
5,98191807,2000,1,7286511
12,98192347,1,1,7286546
5,98191629,5000,1,7286478
5,98611249,15000,1,7347877
5,98192360,5000,10,7286548
5,98192436,4000,1,7286558
5,98611209,1000,1,7347870
5,98191785,200,1,7285950
5,98192001,2000,1,7286541
5,98191026,2000,10,7286504
5,98190973,34000,1,7285948
5,98191989,4000,1,7285967
5,98191714,16000,1,7286490
5,98190851,4400,1,7286486
5,98192286,4000,1,7286533
16,98191805,45000,9,7286507
5,98191805,13000,1,7286505
13,98191805,17500,9,7286506
5,98193187,19000,1,7285981
8,98191866,4000,9,7285956
5,98191754,1000,1,7285945
5,98190979,4000,1,7286498
5,98192577,2600,1,7286577
5,98611099,28800,1,7347867
5,98611211,800,1,7347871
5,98191739,4000,1,7285940
5,98191032,5000,1,7286512
5,98192336,24000,1,7286542
1,98611434,1000,1,7348751
5,98192463,2000,1,7286559
5,98612425,1200,3,7348764
5,98612524,10000,1,7348774
8,98612051,300,1,7347980
5,98612145,2000,1,7347989
5,98611354,3300,1,7347890
12,98611354,22000,9,7347891
5,98611597,5000,1,7348766
1,98611398,1000,1,7347901
5,98611423,300,1,7347903
5,98612029,12000,1,7347974
5,98612247,3000,1,7348743
4,98611322,2800,4,7347888
5,98611322,4500,4,7347889
5,99046733,300,1,7406111
5,98611825,5000,1,7347949
16,98612753,43000,1,7348797
5,98612753,1000,1,7347963
12,98612753,1000,1,7347964
2,98612262,1000,1,7348745
5,98611669,1900,1,7347929
12,99045361,33000,9,7406201
16,99045361,10000,9,7406202
5,99045361,2000,1,7406200
7,99049230,2000,9,7406414
1,99047564,1000,1,7406347
5,99047564,12000,1,7406348
5,99045989,500,1,7406274
5,99046649,2000,1,7406102
16,99045451,8500,9,7406220
1,99047781,200,1,7406133
13,99047277,1000,9,7406315
2,99047277,2000,1,7406314
5,99045643,10000,1,7406228
5,99047188,1500,1,7406295
5,99049385,1000,1,7406436
5,99047912,1000,1,7406378
5,99046312,1000,1,7406312
12,99288959,14000,1,7438836
5,99047779,2800,1,7406368
5,99048332,454000,1,7406172
5,99048502,1000,1,7406184
5,99047225,5000,1,7406298
5,99046186,1000,1,7406058
12,99048099,13000,9,7406403
2,99048099,4000,2,7406402
16,99288972,1000,1,7438841
2,99288805,29700,1,7438825
5,99289706,4000,1,7439374
5,99288796,20000,1,7439326
5,99289510,10400,1,7439346
4,99289539,500,1,7439354
5,99288872,46580,1,7439330
8,99288872,9000,9,7439331
2,99288872,5170,1,7439329
2,99288974,1000,2,7438842
5,99288926,3000,1,7438833
5,99289374,1000,1,7439341
12,99289385,200,1,7438840
5,99289385,10000,1,7439342
9,99289385,2000,9,7438839
5,99289077,2000,1,7438857
5,99288750,500,1,7439317
4,99289814,9000,1,7438891
2,99289379,500,1,7438837
5,99290360,18000,1,7438899
5,99290353,1000,1,7438898
4,99289736,3000,1,7438879
5,99289736,2000,1,7438880
1,99290187,1000,1,7439370
5,99288911,4200,1,7438832
12,99290561,42000,9,7438918
2,100560825,3000,1,7609687
1,100559942,15000,1,7610300
2,100559942,3000,1,7610302
12,100559941,20000,9,7610299
5,100562555,1000,10,7609778
16,100560599,500,1,7610307
5,100560599,2000,1,7609653
5,100562162,1000,10,7610461
5,100561457,3000,1,7610370
5,100562006,28000,1,7610444
5,100561245,2000,1,7610337
5,100561392,500,1,7610362
2,100561392,1000,1,7610361
12,100561939,500,1,7610437
5,100561255,500,1,7610339
5,100559994,1000,1,7610313
5,100561507,4000,3,7610377
5,100561690,500,1,7610404
1,100561110,14000,1,7609738
5,100561204,2000,1,7610331
1,100560629,4000,1,7609660
2,100561572,1000,1,7610390
5,100561349,500,1,7610356
2,100561342,1000,1,7610355
1,100560904,1000,1,7609704
5,100560904,1000,1,7610359
1,101743092,500,1,7766762
1,104656586,50,1,8179952
1,104656533,500,1,8180923
5,100563012,7100,1,7610508
5,100563566,5000,1,7610519
8,100562837,174500,9,7609812
5,100563892,3500,4,7610573
2,100562064,1000,1,7610448
5,100563733,6000,1,7609860
16,100562815,30000,9,7609807
5,100563809,7600,1,7610555
5,100564218,3000,1,7609859
8,100562042,40000,9,7610447
5,100563623,3000,3,7610528
12,100562987,500,1,7609825
5,100563867,13800,1,7609879
5,100564300,500,1,7609871
5,100563919,4000,1,7610578
5,104656142,3500,1,8179951
4,105150984,112000,1,8254514
12,105145862,4600,1,8252993
13,101741916,20000,9,7766637
5,101742807,2000,1,7766708
5,101743445,1900,1,7766692
5,101742700,1900,1,7766686
5,101741683,1500,1,7766606
5,101743077,117000,1,7766758
5,101743590,2000,1,7766718
5,101743034,10000,1,7766740
5,101741849,2000,1,7765901
2,101743757,1,1,7766750
5,101743757,500,1,7766026
16,101741879,2000,9,7765907
1,101741879,1000,1,7765905
12,101741879,1000,1,7765906
5,101743725,8800,1,7766020
5,105148492,10000,1,8253164
5,105149254,500,1,8253158
5,105148720,30,1,8254230
12,105150193,6000,1,8254349
8,105148599,4000,9,8254199
5,105148713,3300,1,8254228
12,105148800,3000,1,8254255
5,105149169,1000,1,8254346
2,105149945,1000,1,8253379
5,105149364,12500,1,8253255
12,105149364,10,1,8253256
8,105148628,5000,9,8254208
5,105150229,700,1,8254362
1,105150229,1000,1,8254361
5,96600980,1000,1,7047784
5,96601412,20,1,7047796
5,96601305,2000,1,7046874
5,96601098,6900,1,7047799
5,96601353,2900,1,7046880
5,96601044,5100,1,7047793
1,96601044,1000,1,7047791
5,96601272,20,1,7046862
5,96601043,1000,1,7047792
1,99289172,1000,1,7438868
5,99290330,1000,3,7438896
5,97065384,10,1,7116798
5,97065516,2000,1,7117470
5,97066222,1051,1,7117467
1,97064877,100,1,7116768
2,97065468,1,1,7117459
5,97065565,13630,1,7116826
5,97066362,4370,1,7116847
5,97065675,1960,1,7117504
1,97065675,960,1,7117503
5,97789198,3340,1,7222785
8,97788016,1000,9,7222765
5,97788503,6420,1,7223264
5,97787993,19770,1,7222762
1,97787993,1640,1,7222760
5,97789420,6530,1,7222836
2,97788839,710,1,7223320
5,97788839,650,1,7223322
5,97788597,1000,1,7223275
5,97788035,100,1,7222768
5,97788049,400,1,7222770
5,97789425,2500,1,7222838
5,97789412,26700,1,7222833
2,97789413,620,1,7222834
8,97788673,2000,9,7223286
5,97788767,2670,1,7223300
8,97789024,3000,9,7222840
5,97789024,710,1,7223348
5,97787902,2000,1,7222748
