victim_id,circumstances_id,justifiable_force_id
95748314,1,
94777622,1,
94785450,1,
97162535,1,
97169823,6,
97173229,9,
97167631,9,
97214958,1,
97185227,9,
93319729,10,
94779325,1,
97220554,6,
97140061,10,
98303711,1,
98327530,1,
98248128,1,
98264252,9,
98323109,6,
98330723,10,
98347259,1,
98256165,6,
98259367,9,
98321008,1,
98341386,9,
98271484,9,
98291518,1,
98223819,10,
98223814,10,
98222938,10,
98222946,10,
98227621,6,
98227621,8,
98233290,1,
97234092,10,
98242766,1,
98242770,1,
93765300,9,
98193345,1,
101882256,1,
98214064,10,
98314017,1,
98253239,8,
98253239,9,
98261449,9,
98253414,1,
98197040,1,
100742074,1,
98348118,1,
98326732,1,
98189841,9,
90826053,9,
93284699,1,
97210094,1,
95751918,1,
94787861,1,
94788293,9,
94788292,9,
94741983,1,
97234390,10,
94746812,1,
94747293,1,
97169826,6,
97170033,10,
94771769,1,
97187245,6,
97189919,9,
97158937,9,
97177522,1,
97181337,1,
97220656,6,
97185991,8,
97185991,9,
98291594,1,
98248115,1,
98256162,6,
98261275,1,
98261277,1,
98261273,1,
98264460,8,
98264531,1,
98345375,9,
98276426,1,
98222936,10,
92726108,1,
102113148,6,
102113149,6,
102115526,9,
98231750,1,
98233326,1,
98281559,9,
98316422,8,
98189327,10,
98197042,1,
98192140,9,
102273979,1,
93281346,1,
95749958,10,
97144202,1,
97154470,1,
97161501,1,
97162476,1,
97166054,10,
94776323,10,
97133971,1,
97186115,9,
97186115,8,
97154447,9,
97166800,10,
97197039,10,
97203929,1,
97209131,10,
97150228,9,
97229744,9,
90825034,10,
91402644,1,
98247307,1,
98250674,1,
98273670,1,
98330721,10,
98256947,6,
98256161,6,
98261272,1,
98261270,1,
98265133,10,
98337924,1,
98338717,1,
97233351,1,
98218423,10,
98223822,10,
97234086,10,
97235465,1,
97235466,1,
95725459,10,
97180789,8,
97180789,9,
102108540,6,
101354387,1,
98214065,10,
98222276,1,
98233328,1,
98242278,2,
98245183,9,
98246354,1,
98246354,8,
98303697,10,
98255519,1,
98292777,10,
98342318,1,
94786405,1,
94788296,9,
94789271,9,
94734063,1,
97237114,10,
97163594,1,
94776322,10,
94777841,1,
97183011,9,
97178306,1,
97228981,1,
97135671,1,
90822886,1,
91354269,1,
91355262,10,
97150091,6,
97185624,8,
97185624,9,
98325154,9,
98325693,8,
98247172,10,
98273666,1,
98273665,1,
98290381,10,
98302544,1,
98257021,6,
98259213,8,
98259213,1,
98261279,1,
98265132,10,
98264533,1,
98328561,8,
98336068,1,
98343256,1,
98353180,1,
98277165,10,
98189739,1,
98197939,1,
97217821,6,
97217821,1,
97213218,1,
97217425,10,
97218854,1,
98218421,10,
98223818,10,
98227259,1,
98228604,9,
101346229,1,
100752644,1,
98242731,1,
97180404,9,
97180404,8,
97180794,8,
97180794,9,
98215119,6,
98228546,10,
98245185,9,
98245186,9,
98277752,1,
98262046,9,
98282113,10,
93283939,9,
92221613,9,
95746622,9,
94780264,1,
97237173,1,
97235551,1,
97240308,1,
94763492,1,
94763492,6,
97154473,1,
94776320,10,
97146561,10,
97184356,8,
97184356,6,
97185220,9,
97185220,8,
97174286,10,
97176332,6,
97178781,1,
97219656,8,
97207512,9,
97196472,10,
97185990,9,
97185990,8,
98222544,9,
92796569,9,
90826115,1,
98289985,6,
98294857,10,
98256164,6,
98256163,6,
98343255,1,
98291175,10,
97217828,6,
97217828,1,
97232426,6,
98230821,1,
101345842,10,
100676969,1,
91352231,1,
100674740,6,
98200193,6,
98236919,1,
98238572,1,
98310755,10,
92807136,1,
97205311,9,
94741524,1,
94763491,6,
94763491,1,
97155805,10,
94776321,10,
97185073,8,
97185073,6,
97195809,1,
97181563,9,
97186517,9,
97183528,8,
97207510,9,
97224335,8,
91416098,6,
90825665,10,
92812547,1,
93317570,1,
98323440,9,
98336728,10,
98336725,10,
98265134,10,
98265868,9,
98337926,1,
98337929,1,
98293352,1,
97220625,10,
98222940,10,
98223825,10,
98224558,10,
98225616,6,
98225616,8,
101347670,1,
98200803,10,
98214061,10,
98256738,1,
98273034,10,
98275703,9,
98262665,9,
98190624,10,
98264698,1,
98232034,9,
100760348,1,
98253524,10,
98255148,9,
98200800,10,
98274763,1,
98289265,1,
98325994,1,
101354640,1,
98304625,9,
98304609,9,
98244395,1,
98347652,1,
97217525,1,
101355869,1,
101345806,10,
101345805,10,
101351937,10,
98293353,1,
98200569,10,
98230425,10,
98230423,10,
98247746,5,
98273163,10,
