victim_id,injury_id
93795915,5
92250325,5
90791976,5
90791973,5
90792011,4
90790547,4
90791084,4
90791186,4
91368125,5
90791721,4
90791906,5
90791922,4
90790936,5
90791042,5
90790605,5
90791427,4
90791055,4
90791824,4
90792067,5
90791932,4
90791233,4
90791117,4
90791417,4
90791766,5
90791711,5
90790637,5
90791006,4
90791690,4
90790654,4
90791892,4
90791326,4
90791819,4
90791821,5
90791212,5
90791118,3
90791096,4
91366097,5
90791447,5
90791304,4
90791730,5
90790632,5
90791909,5
90791910,5
91366249,5
90791146,4
90790934,5
90790571,5
90791368,5
94102047,4
92247375,5
91367286,5
91367285,4
92246594,5
91366970,5
91368726,4
91366230,5
91369128,5
91366413,4
91369183,5
91366878,4
91368173,5
91368698,4
91368411,5
91366189,4
91366338,3
91368283,5
91367127,4
91368185,4
91368252,4
91366101,4
91368280,5
91366621,4
91366618,4
91368015,5
91367120,5
91366420,5
91366513,5
91366381,4
94102079,5
94101633,5
101373039,3
92249334,5
92246739,3
92246859,4
92246670,5
92249807,5
92250082,4
92249311,5
92247012,5
92247712,5
92249183,1
92249183,2
92249183,3
92251171,4
92250212,4
92246945,5
92247622,5
92248737,4
92247114,4
92247443,5
92248103,5
92247933,5
92250227,5
92249671,4
92249750,5
92248825,5
92248821,5
92248238,5
92248624,5
92248064,5
92252144,5
92252481,4
92246822,5
92250063,5
92247662,5
92248503,4
92249940,5
92248366,4
92247852,4
93260328,3
94102058,4
94102050,4
94102057,4
102135066,5
92249528,5
92251567,5
92252882,4
92252883,5
92250361,4
92250559,5
92252992,2
92254002,4
92251586,4
92251584,4
92253837,5
92252967,5
92253841,5
92252139,5
92252528,5
92250362,4
92251402,4
92252218,4
92251476,5
92251478,5
92253922,5
92251329,4
92249502,4
92252306,5
92253811,5
92251917,4
92252143,5
92252221,5
92252223,5
92252333,5
92252332,5
92253895,5
92741601,5
92253794,5
92251719,4
92741396,5
93800480,5
93800484,5
93261065,4
93261063,3
92742391,4
92742617,5
92741315,5
92741918,4
92741914,4
92742660,5
92741854,5
92742320,4
92742323,4
92742026,4
92741474,5
92741494,5
92741984,5
93260905,4
92741711,4
92742563,5
92742562,5
92743753,4
93260782,4
92743668,4
93260028,5
93260026,4
92741551,4
92743029,4
92741272,4
92740579,5
92740618,5
92740565,5
92741802,5
92742967,5
92742341,5
92742343,5
92743710,4
93260151,4
93261215,5
92741752,5
92741981,5
92742933,4
95687396,5
100764934,5
100764331,5
93260781,4
93261462,5
93260738,5
93261590,5
93260594,5
93261151,5
93261020,5
93261186,2
93262681,4
93262946,5
93261686,5
93261019,5
93262045,4
93262363,5
93262410,5
93261420,5
93260408,4
93260351,5
93262874,3
93798031,5
93261099,5
93260440,5
93261300,4
93262288,3
93798617,4
93261339,4
93262029,4
93262032,4
93260933,5
93260525,4
93262940,4
93261107,5
93261153,5
93262904,4
93260737,4
93261129,5
93262858,5
93261665,4
93262209,4
93262116,4
93261974,5
93262314,5
93262317,5
93261870,5
93262064,4
94102041,4
93261773,5
93261110,4
93261834,4
93260325,7
93262414,5
93798270,4
93798324,5
93796562,5
93796565,4
93798436,4
93800036,5
93800097,5
93798272,5
93796498,5
93798118,4
93800621,4
94100941,4
93800632,5
93798627,5
93797926,5
93800439,5
93798489,4
93797688,5
93800420,5
93796289,4
93798736,5
93801109,4
94100940,4
93800149,4
93800148,5
93798564,4
93797423,5
93797467,4
93801358,5
93801356,5
93797357,4
93798817,5
93798816,5
93799236,4
93800763,4
93800764,4
93796532,4
93797287,5
93799843,3
93799578,5
93801348,4
93801350,5
93800146,5
93800147,5
93800145,5
93800144,4
100762018,6
100762786,3
94101052,4
94102968,5
94102152,4
94103213,5
94102616,5
94101205,4
94102104,5
94100503,4
94102688,4
94102618,5
94102617,5
94103079,5
94100938,4
94101241,5
94102143,5
94101492,5
94102912,4
94102785,5
94102443,5
94103231,5
94102879,4
94102609,5
94102612,5
94101226,4
94100515,4
94102233,5
94101346,4
94102511,5
94102432,4
94102571,4
94101938,4
94102592,4
94102550,4
94101856,5
94101189,4
94100586,5
94102509,4
95684824,5
95684143,5
95688365,4
102070125,5
102135403,4
102136227,5
100763037,5
95684681,4
95686567,5
95686573,5
95686569,4
95686571,5
95686570,5
95685640,5
95683649,5
95684258,5
95685538,5
95684981,5
95686540,4
95684703,4
95685533,4
95686658,4
95686943,5
95685987,4
95685122,4
95685440,5
95685240,4
95686127,5
95685612,4
95684333,5
95684885,4
95685020,4
95685740,4
95685969,4
95684629,4
95686193,4
95685821,5
95685506,5
95686746,4
95683618,5
95685735,5
97150898,4
95684176,4
95684614,4
95685182,4
95685233,5
102069360,4
95687593,4
95688719,5
95688881,5
95687324,5
95687159,4
95688906,4
95687832,4
95687618,4
95688810,4
95688902,5
95687172,5
95687175,4
95687382,4
95687383,4
95688291,5
95686999,4
95686998,5
95687236,6
95687490,5
95688008,5
95689002,5
95688398,4
95687740,5
95688898,4
95687573,4
95688778,4
97149950,4
97149081,4
97149015,5
100762142,4
100762138,4
102135063,6
97151773,4
97151723,5
97149563,4
97150100,5
97150841,5
97149495,4
97149295,4
97149101,4
97149467,5
97149455,5
97151285,5
97152068,4
97151135,4
97149997,4
97150357,4
97149593,4
97150271,4
97149493,5
97149247,5
97150108,5
97149117,5
97149892,5
101376902,5
101377117,4
101376598,5
101373045,4
101373819,5
101373112,5
101376534,4
101378086,4
101377996,4
101377417,4
101376899,5
101377112,5
101378392,5
101378665,5
101378668,4
101378696,4
101377635,5
101377615,5
101378129,5
101378132,5
101374346,5
101377568,4
101378349,4
101378924,5
101377674,4
101377675,4
101378356,4
101378168,5
101377276,5
101378273,4
101378166,5
90790462,4
90790582,5
90790461,5
90790912,4
90790847,5
90791018,4
90790820,5
90790573,4
90790843,5
90790490,5
90790919,5
90790574,4
90790907,5
90790972,6
90790940,5
90790947,5
90790967,5
90790998,4
90790626,4
90790459,5
90790489,5
90790945,5
90790463,5
90790460,5
90790973,5
91367386,5
91367388,5
91366556,5
91366559,5
91366218,5
91366232,5
91367115,5
91366602,5
91366838,5
91367370,5
91367374,5
91367200,5
91366299,4
91366113,5
91367759,4
91366416,4
91366126,5
91366127,5
91366558,5
91366464,4
91367701,5
91367452,5
91367085,4
91366131,4
91366619,5
92248127,5
92246785,5
92247402,5
92248093,5
92248192,5
92247103,5
92248038,5
92247687,5
92248342,4
92247224,5
92247763,5
92247842,5
92248229,4
92248196,5
92247686,5
92248317,4
92247256,5
92248209,4
92248940,4
92248939,5
92249287,5
92248784,5
92249680,5
92248829,5
92247496,5
92247508,4
92248929,4
92248483,4
92247642,4
92249799,4
92249661,5
92248579,4
92248522,5
92248413,5
92250095,5
92250091,5
92249732,4
92249810,5
92248393,5
92249864,4
92741509,5
92250034,4
92250039,4
92742187,5
92742031,5
92742680,5
92741334,5
92741537,5
92741541,4
92742007,2
92741593,4
92742126,5
92742113,4
92742109,4
92742119,4
92742132,4
92741337,4
92741714,5
92741721,5
92741718,5
92742238,3
92741948,5
92741950,5
92741488,5
92741675,5
92741674,4
94101971,5
92741733,5
92741735,5
92741607,4
92741389,5
102069532,4
93260652,5
93260742,5
93259599,4
93260072,5
93260077,4
93260499,4
93260178,5
93260919,5
93260300,5
93260778,5
93260591,4
93260592,4
93260230,4
93260985,4
93261079,4
93260602,5
93260294,5
93260848,4
93259652,4
93260309,5
93797945,4
93797316,5
93797671,5
93797065,4
93797670,5
93797672,5
93797789,4
93797939,4
93798182,4
93798218,4
93799760,4
93797769,4
93797924,5
93798246,2
93796457,4
93798473,3
93797077,5
93796928,5
98288915,4
94102075,5
94102072,5
94100592,5
94101054,5
94100583,5
94101799,5
94101328,5
94102270,7
94102930,5
94102322,5
94101602,5
94102799,5
94102227,5
94729209,5
94729203,5
94729831,5
98289662,4
94729818,5
94729959,5
94729967,5
95683507,5
95683506,4
95684125,5
94730010,5
95684076,4
95684210,5
94729165,4
94730480,5
94729904,4
94730001,5
94730005,5
94730421,4
94730003,5
94729418,5
97149165,5
95684975,4
95684719,4
95683543,5
95684753,5
95684162,4
95683365,5
95683358,5
95683450,4
95684663,5
95683654,6
95683359,5
95683361,5
95684725,5
95684871,4
95683568,5
95684387,4
95684106,5
95683484,5
95684863,5
95684877,4
97149064,4
97150953,5
97149136,4
97149304,4
97150824,4
97149070,4
97149068,5
97149956,5
97149129,4
97150012,4
97149131,4
97150356,5
97151042,5
97151044,5
97149084,5
97150456,5
97150947,4
97150993,5
97150988,5
97149627,5
97149633,5
97150428,5
98291528,5
98291530,5
98291457,4
98290990,5
98291741,5
98291742,5
98291021,5
98291533,5
98291534,4
98291039,5
98291038,5
98291243,6
98291380,4
98291453,5
98291491,4
98291985,5
98291982,5
98290865,6
98291321,5
98291522,5
92741915,5
92741997,3
92741980,4
92742204,4
92741568,5
92742062,4
92742034,4
92742061,3
92741610,4
92741626,5
92742189,5
92742090,5
93260395,4
93260885,4
93260463,4
93260466,4
95684158,5
94729752,5
95684166,5
95684179,5
95684251,4
95684699,5
95684724,4
97149062,4
95684822,5
95684359,4
95684742,4
95684744,4
95684846,5
95684371,5
97149128,4
97150004,4
97149066,4
97149065,4
98289735,5
98288961,4
98289026,5
92742312,5
94101122,5
94101107,4
94101109,4
94100646,4
95684926,5
97150139,2
97150139,3
97150139,6
98288825,4
98288848,4
90791241,5
90792077,4
91367815,5
90791235,5
90791641,4
90791640,4
90792129,5
90792130,5
90791562,4
90792669,4
90792666,4
90791253,6
90791864,4
90792660,5
90792824,4
90791560,5
90791557,4
90791916,4
90792659,4
90791832,4
90792079,5
90791467,5
90792080,5
90791464,5
92743317,5
90791965,4
91367485,5
90791549,5
90791544,5
90791422,4
90791378,4
90792722,4
91367560,4
90792763,4
91370134,4
91370130,4
90791855,5
90792137,4
90791810,5
91368691,4
90791907,4
90792229,5
