victim_id,offender_id,relationship_id,nibrs_victim_offender_id
93795915,96871233,24,28343623
92250325,95300565,19,27856413
90791976,93821201,15,27409735
90791976,93820778,15,27409733
90791973,93821201,15,27410577
90791973,93820778,15,27409731
90792011,93820815,3,27410585
90790547,93819776,3,27409582
90791084,93819937,3,27410496
90791186,93821054,3,27409676
91368125,94411601,5,27597781
90791721,93819963,1,27409632
90791721,93819964,1,27409633
90791104,93820515,16,27409631
90791713,93820515,16,27410503
90791192,93820606,15,27410538
90791192,93820603,15,27409679
90791906,93820706,18,27409713
90791922,93820726,21,27409720
90790936,93819801,5,27410438
90791042,93820447,16,27410481
90790605,93820363,16,27409601
90791427,93820856,3,27410594
90791975,93820782,24,27409734
90791055,93820461,3,27410484
90791680,93820475,24,27409621
90791824,93820629,21,27409685
90792067,93821295,21,27410603
90791932,93821161,3,27410568
90791233,93821090,21,27410552
90791117,93819974,3,27410507
90791417,93820843,3,27410591
90791766,93820017,1,27410531
90791214,93821073,26,27410546
90791711,93819953,3,27409630
90790637,93819873,1,27410467
90790637,93820403,1,27410466
90791006,93819873,1,27410465
90791006,93820403,1,27410464
90791690,93820489,9,27410493
90790654,93820437,1,27409617
90790654,93820436,1,27409616
90791892,93820698,17,27410560
90791326,93821188,3,27409725
90791446,93820873,18,27410601
90790981,93820385,15,27410456
90791819,93821070,16,27410545
90791821,93821070,16,27409683
90791212,93821070,16,27410543
90791118,93819972,3,27409644
90791118,93820531,1,27410508
90791096,93820506,5,27410501
91366097,94408828,15,27596681
90791447,93821290,20,27410602
90791304,93821158,1,27410567
90791730,93820533,3,27409645
90790632,93819867,20,27409610
90791909,93820710,3,27409714
90791701,93819945,3,27409628
90791910,93820711,3,27409715
91366249,94409644,3,27596729
90791089,93820501,16,27410499
90791087,93820501,16,27410498
90791085,93820501,3,27410497
90791146,93820551,19,27410527
90790934,93819796,19,27410436
90790571,93819796,19,27410437
90791368,93820789,5,27410581
90791368,93820792,16,27410582
94102047,97178642,16,28435685
92247375,95298568,1,27856120
91367286,94410251,16,27596838
91367286,94410002,16,27596840
91367286,94410252,16,27596839
91367285,94410251,16,27597593
91367285,94410002,16,27597596
91367285,94410252,16,27597595
92246594,95297783,1,27855934
92246594,95297779,1,27856783
92246594,95296801,1,27856785
92246594,95297782,1,27855933
91366970,94409659,17,27597514
91368726,94411501,1,27596997
91366230,94409624,1,27596725
91366230,94409623,1,27596724
91366230,94409622,1,27596722
91367793,94410435,1,27596916
91369128,94411930,3,27597856
91366413,94409818,6,27597548
91369183,94412111,17,27597867
91366878,94409530,1,27597496
91369148,94412075,1,27597859
91367598,94410553,16,27597719
91368173,94411666,15,27597029
91368698,94410650,6,27597749
91368004,94411470,15,27596988
91368411,94411932,24,27597102
91366189,94408878,21,27597504
91366338,94409734,16,27596754
91368283,94410931,1,27597064
91367127,94409829,21,27597550
91368185,94411681,21,27597035
91368252,94411758,3,27597055
91367991,94411451,1,27596983
91366101,94409514,5,27596682
91367030,94408999,1,27597529
91368280,94410925,7,27597062
91367847,94410473,1,27596936
91367847,94410475,1,27596937
91366621,94410042,16,27597607
91366621,94410043,16,27597608
91366618,94410042,21,27597605
91366618,94410043,16,27597606
91368015,94411482,18,27596989
91368537,94413066,1,27597141
91367120,94409822,1,27596783
91367120,94409820,1,27596782
91366420,94409820,1,27596784
91366420,94409822,1,27596786
91366513,94409914,1,27596813
91366381,94410058,3,27596764
94102079,97178677,1,28436436
94102079,97179138,1,28436435
94101633,97179138,1,28436432
94101633,97178677,1,28436434
101373039,104550856,16,30672431
101373039,104550855,1,30672430
92249334,95301434,1,27857260
92246739,95297855,15,27855945
92246859,95297025,21,27855979
92246670,95296797,17,27855929
92246779,95297904,15,27855954
92249807,95299985,15,27857112
92250082,95300333,3,27857221
92249311,95300396,3,27856372
92247012,95298196,3,27856876
92247712,95296921,3,27856810
92249183,95301260,3,27857183
92251171,95302289,18,27857617
92251171,95302287,18,27858493
92250212,95300448,1,27857269
92250212,95300447,1,27857268
92246945,95299069,1,27856008
92248950,95300032,1,27856283
92247622,95298822,17,27857052
92248737,95299814,21,27856208
92247114,95299217,3,27856055
92247443,95299537,16,27856136
92248103,95298340,3,27856907
92247933,95298146,5,27856870
92250227,95301473,21,27856397
92246879,95297998,1,27855990
92249671,95299802,3,27857076
92249750,95299907,18,27857097
92248825,95299907,18,27857096
