weapon_id,offense_id,nibrs_weapon_id
12,93904064,18838546
20,92346278,18519032
12,90879369,18216696
12,90878907,18215840
12,90878411,18216594
12,90878596,18215769
12,90879211,18216657
12,91461304,18338225
3,90879134,18216631
12,90878798,18216684
12,90878818,18215825
12,90878442,18216598
20,90878547,18215764
20,90878470,18215746
12,90879433,18215853
18,90879433,18215854
12,90878563,18216618
12,90878728,18215804
18,90878976,18215858
12,90878826,18216686
18,90878826,18215827
18,90878741,18216666
12,90879139,18216634
12,90878942,18215850
12,90878661,18216652
12,90879124,18215772
18,90878051,18216611
4,90878099,18216625
12,90878537,18215761
12,90878789,18216680
12,90879353,18216691
12,90878722,18216661
9,90879140,18216635
18,90879115,18216628
20,91459300,18337968
12,90878973,18216718
12,90878820,18215826
12,90879142,18215777
12,90878046,18216610
12,90878799,18215820
20,90878801,18215821
12,91459428,18338004
12,90878647,18215785
12,90877988,18216596
12,90878888,18215837
12,94209635,18904684
3,92343900,18518201
18,92344131,18518241
12,91459762,18338076
12,92342331,18518122
12,91458711,18338010
12,91461214,18338199
12,91459408,18338000
12,91460829,18338732
12,91459590,18338037
12,91460891,18338745
12,91458613,18337975
12,91461365,18338239
12,91460407,18338654
12,91461614,18338303
12,91458659,18338490
9,91459508,18338022
12,91461490,18338706
12,91458872,18338041
12,91461381,18338242
12,91461451,18338265
19,91458607,18338483
12,91461485,18338276
12,91459051,18338569
2,91461195,18338192
12,91459593,18338038
12,91458968,18338553
12,91459552,18338028
18,94208841,18904009
3,101503826,20427000
9,101503826,20427001
12,92345957,18518428
9,92343450,18518133
12,92343579,18518720
20,92343359,18518120
12,92345568,18518914
12,92345869,18518983
12,92345935,18518421
12,92342717,18518751
12,92342441,18518704
12,92345795,18518958
12,92345797,18518959
3,92347818,18519150
12,92345987,18519009
12,92343689,18518168
12,92344396,18518870
18,92344511,18518301
12,92343870,18518194
12,92344210,18518255
18,92342857,18518778
12,92342661,18518742
12,92346194,18518438
12,92345436,18518888
12,92345507,18518325
12,92343000,18518807
12,92344448,18518291
20,92342815,18518769
20,92347919,18519172
12,92348520,18519246
3,92343545,18518149
12,92345838,18518974
12,92342401,18518695
18,92344292,18518266
